sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Beer";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"beer";"alcoholic beverage";"foods & beverages";"1";"recommended";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"beer";"alcoholic beverage";"foods & beverages";"1";"recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Cellulose Acetate";"";"beer";"alcoholic beverage";"foods & beverages";"3";"not recommended; swollen; weight gain";"100";"60 – 70";"<1";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Cellulose Acetate Butyrate";"";"beer";"alcoholic beverage";"foods & beverages";"3";"not recommended; weight gain";"100";"60 – 70";"<1";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Chlorosulfonated Polyethylene";"";"beer";"alcoholic beverage";"foods & beverages";"2";"questionable";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Epoxy Resin, Glass Fiber- Reinforced";"";"beer";"alcoholic beverage";"foods & beverages";"1";"recommended";"100";"70 – 225";"";"1, 19";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Fluororubber";"";"beer";"alcoholic beverage";"foods & beverages";"1";"recommended";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Polychloroprene";"";"beer";"alcoholic beverage";"foods & beverages";"1";"recommended";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Polyesters, Glass Fiber-Reinforced";"";"beer";"alcoholic beverage";"foods & beverages";"1";"recommended";"100";"70 – 80";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Polyethylene (PE)";"";"beer";"alcoholic beverage";"foods & beverages";"1";"recommended";"100";"70 – 150";"";"1, 21";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Polypropylene (PP)";"";"beer";"alcoholic beverage";"foods & beverages";"1";"recommended";"100";"60 – 212";"<6";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Polyvinyl Chloride (PVC)";"";"beer";"alcoholic beverage";"foods & beverages";"1";"recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Polyvinylidene Chloride (PVDC)";"Saran brand resin";"beer";"alcoholic beverage";"foods & beverages";"1";"recommended";"100";"175";"";"6";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Rubber, Butyl (BR)";"";"beer";"alcoholic beverage";"foods & beverages";"1";"recommended";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Vinyl Ester Resins";"";"beer";"alcoholic beverage";"foods & beverages";"1";"recommended";"100";"70 – 120";"";"7";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
