sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Lead nitrate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"lead nitrate";"10099-74-8";"N2O6Pb";"salts";"1";"recommended; over 3 years";">10";"75 – 212";">12";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"lead nitrate";"10099-74-8";"N2O6Pb";"salts";"1";"recommended";"100";"70 – 250";">12";"~7pH";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Polyvinyl Chloride (PVC)";"lead nitrate";"10099-74-8";"N2O6Pb";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Styrene Acrylonitrile Copolymer (SAN)";"lead nitrate";"10099-74-8";"N2O6Pb";"salts";"1";"recommended";"100";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
