sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Butyl chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"butyl chloride";"1-chlorobutane";"109-69-3 [25154-42-1]";"C4H9Cl";"alkyl halides";"";"100";"25 – 225";"<20";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 30-44-5-3W (G-30)";"butyl chloride";"1-chlorobutane";"109-69-3 [25154-42-1]";"C4H9Cl";"alkyl halides";"";"100";"25 – 225";"<20";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Aluminum Alloy (3003/ 5154)";"butyl chloride";"1-chlorobutane";"109-69-3 [25154-42-1]";"C4H9Cl";"alkyl halides";"hazardous!";"100";"25 – 75";"20 – 50";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"butyl chloride";"1-chlorobutane";"109-69-3 [25154-42-1]";"C4H9Cl";"alkyl halides";"";"100";"25 – 225";"<20";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"butyl chloride";"1-chlorobutane";"109-69-3 [25154-42-1]";"C4H9Cl";"alkyl halides";"";"100";"25 – 225";"<20";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Brass (>15Zn)";"butyl chloride";"1-chlorobutane";"109-69-3 [25154-42-1]";"C4H9Cl";"alkyl halides";"";"100";"25 – 225";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Cast Iron, Gray/ Ductile";"butyl chloride";"1-chlorobutane";"109-69-3 [25154-42-1]";"C4H9Cl";"alkyl halides";"";"100";"25 – 225";"<20";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Copper/ Bronze/ Low Brass";"butyl chloride";"1-chlorobutane";"109-69-3 [25154-42-1]";"C4H9Cl";"alkyl halides";"";"100";"25 – 225";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Copper-Nickel";"butyl chloride";"1-chlorobutane";"109-69-3 [25154-42-1]";"C4H9Cl";"alkyl halides";"";"100";"25 – 225";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Cr Stainless Steel (12Cr)";"butyl chloride";"1-chlorobutane";"109-69-3 [25154-42-1]";"C4H9Cl";"alkyl halides";"";"100";"25 – 225";"<20";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
