sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Adipic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"adipic acid";"saturated";"124-04-9";"C6H10O4";"organic (weak) acids";"1";"recommended";"10";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acetal Resins (Polyoxymethylene)";"";"adipic acid";"";"124-04-9";"C6H10O4";"organic (weak) acids";"2";"questionable";"10";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"adipic acid";"saturated";"124-04-9";"C6H10O4";"organic (weak) acids";"1";"recommended";"10";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"adipic acid";"";"124-04-9";"C6H10O4";"organic (weak) acids";"1";"recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Chlorinated Polyvinyl Chloride (CPVC)";"";"adipic acid";"";"124-04-9";"C6H10O4";"organic (weak) acids";"1";"recommended";"100";"70 – 212";"";"1, 2";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Chlorosulfonated Polyethylene";"";"adipic acid";"saturated";"124-04-9";"C6H10O4";"organic (weak) acids";"1";"recommended";"10";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Epoxy Resin, Glass Fiber- Reinforced";"";"adipic acid";"";"124-04-9";"C6H10O4";"organic (weak) acids";"1";"recommended";"10";"70 – 250";"";"1, 24";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"Teflon; Hostaflon; Fluon";"adipic acid";"";"124-04-9";"C6H10O4";"organic (weak) acids";"1";"recommended";"any";"250 – 400";"<1";"10";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Fluororubber";"";"adipic acid";"saturated";"124-04-9";"C6H10O4";"organic (weak) acids";"1";"recommended";"10";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Polychloroprene";"";"adipic acid";"saturated";"124-04-9";"C6H10O4";"organic (weak) acids";"1";"recommended";"10";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Polyethylene (PE)";"";"adipic acid";"";"124-04-9";"C6H10O4";"organic (weak) acids";"1";"recommended";"100";"70 – 150";"";"1, 21";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Polyvinyl Chloride (PVC)";"";"adipic acid";"";"124-04-9";"C6H10O4";"organic (weak) acids";"1";"recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Polyvinylidene Chloride (PVDC)";"Saran brand resin";"adipic acid";"";"124-04-9";"C6H10O4";"organic (weak) acids";"1";"recommended";"100";"150";"";"6";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Rubber, Butyl (BR)";"";"adipic acid";"saturated";"124-04-9";"C6H10O4";"organic (weak) acids";"1";"recommended";"10";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Rubber, Natural (NR)";"";"adipic acid";"saturated";"124-04-9";"C6H10O4";"organic (weak) acids";"1";"recommended";"10";"60 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
