sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Diethylenetriamine";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Epoxy Resin, Glass Fiber- Reinforced";"diethylenetriamine";"bis(2-amimoethyl)amine";"111-40-0";"C4H13N3";"amines";"3";"not recommended";"100";"70 – 100";"";"1, 19";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"diethylenetriamine";"bis(2-amimoethyl)amine";"111-40-0";"C4H13N3";"amines";"1";"recommended";"100";"70 – 90";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Polyvinylidene Fluoride (PVDF)";"diethylenetriamine";"bis(2-amimoethyl)amine";"111-40-0";"C4H13N3";"amines";"1";"recommended";"100";"70 – 125";"";"1, 23";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Polyvinylidene Fluoride (PVDF)";"diethylenetriamine";"bis(2-amimoethyl)amine";"111-40-0";"C4H13N3";"amines";"2";"questionable";"100";"125 – 212";"";"1, 23";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
