sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Acrolein";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Copper/ Bronze/ Low Brass";"acrolein";"2-propenal";"107-02-8";"C3H4O";"aldehydes";"";"5 – 15";"25 – 125";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Copper/ Bronze/ Low Brass";"acrolein";"2-propenal";"107-02-8";"C3H4O";"aldehydes";"";"100";"25 – 225";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Cr Stainless Steel (12Cr)";"acrolein";"2-propenal";"107-02-8";"C3H4O";"aldehydes";"";"5 – 15";"25 – 125";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Cr Stainless Steel (12Cr)";"acrolein";"2-propenal";"107-02-8";"C3H4O";"aldehydes";"";"100";"25 – 225";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Cr Stainless Steel (17Cr)";"acrolein";"2-propenal";"107-02-8";"C3H4O";"aldehydes";"";"5 – 15";"25 – 125";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Cr Stainless Steel (17Cr)";"acrolein";"2-propenal";"107-02-8";"C3H4O";"aldehydes";"";"100";"25 – 225";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Gold/ Platinum";"acrolein";"2-propenal";"107-02-8";"C3H4O";"aldehydes";"";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Lead";"acrolein";"2-propenal";"107-02-8";"C3H4O";"aldehydes";"pitting";"5 – 15";"25 – 125";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Lead";"acrolein";"2-propenal";"107-02-8";"C3H4O";"aldehydes";"";"100";"25 – 75";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"acrolein";"2-propenal";"107-02-8";"C3H4O";"aldehydes";"";"100";"25 – 225";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"acrolein";"2-propenal";"107-02-8";"C3H4O";"aldehydes";"";"100";"25 – 225";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"acrolein";"2-propenal";"107-02-8";"C3H4O";"aldehydes";"";"100";"25 – 225";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"acrolein";"2-propenal";"107-02-8";"C3H4O";"aldehydes";"";"100";"25 – 225";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"acrolein";"2-propenal";"107-02-8";"C3H4O";"aldehydes";"";"100";"25 – 225";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Nickel (200)";"acrolein";"2-propenal";"107-02-8";"C3H4O";"aldehydes";"";"100";"25 – 225";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Nickel Cast Iron (15-35Ni)";"acrolein";"2-propenal";"107-02-8";"C3H4O";"aldehydes";"";"100";"25 – 225";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Nickel-Copper (400)";"acrolein";"2-propenal";"107-02-8";"C3H4O";"aldehydes";"";"100";"25 – 225";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
