sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ferric sulfate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";""
"1";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"ferric sulfate";"iron sulfate";"";"10028-22-5";"Fe2O12S3";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"2";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"ferric sulfate";"iron sulfate";"";"10028-22-5";"Fe2O12S3";"salts";"1";"recommended";"<25";"200";"<6";"";"16";"";"";"";"";"";"";"";"";"";""
"3";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"ferric sulfate";"iron sulfate";"";"10028-22-5";"Fe2O12S3";"salts";"1";"recommended";"<25";"200";"<6";"";"16";"";"";"";"";"";"";"";"";"";""
"4";"Chlorosulfonated Polyethylene";"";"ferric sulfate";"iron sulfate";"";"10028-22-5";"Fe2O12S3";"salts";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"5";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"ferric sulfate";"iron sulfate";"";"10028-22-5";"Fe2O12S3";"salts";"1";"recommended; over 3 years";">10";"75 – 212";">12";"";"1";"";"";"";"";"";"";"";"";"";""
"6";"Epoxy Resin, Glass Fiber- Reinforced";"";"ferric sulfate";"iron sulfate";"";"10028-22-5";"Fe2O12S3";"salts";"1";"recommended";"any";"225";"";"";"1, 19";"";"";"";"";"";"";"";"";"";""
"7";"Epoxy Resin, Glass Fiber- Reinforced";"";"ferric sulfate";"iron sulfate";"";"10028-22-5";"Fe2O12S3";"salts";"1";"recommended";"10";"70 – 200";"";"";"1, 19";"";"";"";"";"";"";"";"";"";""
"8";"Epoxy Resin, Glass Fiber- Reinforced";"";"ferric sulfate";"iron sulfate";"";"10028-22-5";"Fe2O12S3";"salts";"1";"recommended";"10 – 20";"70 – 150";"";"";"1, 19";"";"";"";"";"";"";"";"";"";""
"9";"Epoxy Resin, Glass Fiber- Reinforced";"";"ferric sulfate";"iron sulfate";"";"10028-22-5";"Fe2O12S3";"salts";"1";"recommended";"40";"70 – 200";"";"";"1, 19";"";"";"";"";"";"";"";"";"";""
"10";"Epoxy Resin, Glass Fiber- Reinforced";"";"ferric sulfate";"iron sulfate";"saturated";"10028-22-5";"Fe2O12S3";"salts";"1";"recommended";"100";"70 – 200";"";"";"1, 19";"";"";"";"";"";"";"";"";"";""
"11";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"ferric sulfate";"iron sulfate";"";"10028-22-5";"Fe2O12S3";"salts";"1";"recommended";">10";"70 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";""
"12";"Polyesters, Glass Fiber-Reinforced";"";"ferric sulfate";"iron sulfate";"";"10028-22-5";"Fe2O12S3";"salts";"1";"recommended";"10 – 20";"175 – 200";"";"";"1";"";"";"";"";"";"";"";"";"";""
"13";"Polyesters, Glass Fiber-Reinforced";"";"ferric sulfate";"iron sulfate";"";"10028-22-5";"Fe2O12S3";"salts";"1";"recommended";"10 – 30";"70 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";""
"14";"Polyesters, Glass Fiber-Reinforced";"";"ferric sulfate";"iron sulfate";"";"10028-22-5";"Fe2O12S3";"salts";"1";"recommended";"30";"70 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";""
"15";"Polymethyl Methacrylate (PMMA)";"";"ferric sulfate";"iron sulfate";"";"10028-22-5";"Fe2O12S3";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"16";"Polyphenylene Sulfide (40% Glass-Filled)";"Fortron PPS";"ferric sulfate";"iron sulfate";"";"10028-22-5";"Fe2O12S3";"salts";"1";"recommended";"100";"0 – 200";"<1";"";"11";"";"";"";"";"";"";"";"";"";""
