sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Sodium chlorite";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"sodium chlorite";"7758-19-2";"ClNaO2";"salts";"";"5";"212";"20 – 50";"195,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"sodium chlorite";"7758-19-2";"ClNaO2";"salts";"";"5 – 15";"25 – 75";"<2";"195,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-25-4Mo (904L)";"sodium chlorite";"7758-19-2";"ClNaO2";"salts";"";"5 – 15";"175 – 210";"<20";"195,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"sodium chlorite";"7758-19-2";"ClNaO2";"salts";"";"5 – 15";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"sodium chlorite";"7758-19-2";"ClNaO2";"salts";"";"5 – 15";"175 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 30-44-5-3W (G-30)";"sodium chlorite";"7758-19-2";"ClNaO2";"salts";"";"5 – 15";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Alloy 30-44-5-3W (G-30)";"sodium chlorite";"7758-19-2";"ClNaO2";"salts";"";"5 – 15";"175 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Aluminum Alloy (3003/ 5154)";"sodium chlorite";"7758-19-2";"ClNaO2";"salts";"";"5 – 15";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"sodium chlorite";"7758-19-2";"ClNaO2";"salts";"pitting";"5 – 30";"25 – 75";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"sodium chlorite";"7758-19-2";"ClNaO2";"salts";"";"5 – 15";"25 – 75";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"sodium chlorite";"7758-19-2";"ClNaO2";"salts";"";"5 – 15";"175 – 225";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"sodium chlorite";"7758-19-2";"ClNaO2";"salts";"";"15 – 30";"25 – 75";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"sodium chlorite";"7758-19-2";"ClNaO2";"salts";"";"100";"25 – 75";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Brass (>15Zn)";"sodium chlorite";"7758-19-2";"ClNaO2";"salts";"";"5 – 15";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Cast Iron, Gray/ Ductile";"sodium chlorite";"7758-19-2";"ClNaO2";"salts";"";"5 – 30";"25 – 75";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Copper/ Bronze/ Low Brass";"sodium chlorite";"7758-19-2";"ClNaO2";"salts";"";"5 – 15";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Cr Stainless Steel (12Cr)";"sodium chlorite";"7758-19-2";"ClNaO2";"salts";"pitting";"5 – 30";"25 – 75";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Cr Stainless Steel (17Cr)";"sodium chlorite";"7758-19-2";"ClNaO2";"salts";"pitting";"5 – 30";"25 – 75";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Lead";"sodium chlorite";"7758-19-2";"ClNaO2";"salts";"";"5 – 15";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Lead";"sodium chlorite";"7758-19-2";"ClNaO2";"salts";"";"5 – 15";"125 – 175";"20 – 50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"sodium chlorite";"7758-19-2";"ClNaO2";"salts";"";"5 – 15";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"sodium chlorite";"7758-19-2";"ClNaO2";"salts";"";"5 – 15";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"sodium chlorite";"7758-19-2";"ClNaO2";"salts";"";"5 – 15";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"sodium chlorite";"7758-19-2";"ClNaO2";"salts";"";"5 – 15";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"sodium chlorite";"7758-19-2";"ClNaO2";"salts";"";"5 – 15";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Nickel (200)";"sodium chlorite";"7758-19-2";"ClNaO2";"salts";"";"5 – 30";"25 – 75";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Nickel Cast Iron (15-35Ni)";"sodium chlorite";"7758-19-2";"ClNaO2";"salts";"";"5 – 30";"25 – 75";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Nickel Cast Iron (15-35Ni)";"sodium chlorite";"7758-19-2";"ClNaO2";"salts";"";"100";"25 – 75";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Nickel-Copper (400)";"sodium chlorite";"7758-19-2";"ClNaO2";"salts";"";"5 – 30";"25 – 75";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Ni-Cr-Fe Alloy (600/ 690)";"sodium chlorite";"7758-19-2";"ClNaO2";"salts";"";"5 – 30";"25 – 75";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Ni-Mo Alloy (Ni-30Mo; B-2)";"sodium chlorite";"7758-19-2";"ClNaO2";"salts";"";"5 – 15";"25 – 125";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Silicon Cast Iron (14Si)";"sodium chlorite";"7758-19-2";"ClNaO2";"salts";"";"5 – 15";"52 – 102";"<2";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Silicon Cast Iron (14Si)";"sodium chlorite";"7758-19-2";"ClNaO2";"salts";"";"15 – 30";"52 – 102";"<20";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Steels, Carbon/ Low Alloy";"sodium chlorite";"7758-19-2";"ClNaO2";"salts";"";"5 – 30";"25 – 75";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Titanium, Unalloyed";"sodium chlorite";"7758-19-2";"ClNaO2";"salts";"";"5 – 30";"25 – 225";"<2";"195,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
