sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Methyl formate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Silicon Cast Iron (14Si)";"methyl formate";"107-31-3";"C2H4O2";"esters";"";"15 – 25";"52 – 237";"<20";"209,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Silicon Cast Iron (14Si)";"methyl formate";"107-31-3";"C2H4O2";"esters";"";"100";"52 – 237";"<20";"209,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Silver";"methyl formate";"107-31-3";"C2H4O2";"esters";"";"5 – 30";"25 – 225";"<20";"209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Steels, Carbon/ Low Alloy";"methyl formate";"107-31-3";"C2H4O2";"esters";"";"5 – 30";"25 – 225";"<20";"209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Steels, Carbon/ Low Alloy";"methyl formate";"107-31-3";"C2H4O2";"esters";"";"100";"25 – 75";"<2";"209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Superferritic Stainless Steel (26-1)";"methyl formate";"107-31-3";"C2H4O2";"esters";"";"5 – 30";"25 – 225";"<20";"209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Superferritic Stainless Steel (26-1)";"methyl formate";"107-31-3";"C2H4O2";"esters";"";"100";"25 – 75";"<2";"209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Titanium, Unalloyed";"methyl formate";"107-31-3";"C2H4O2";"esters";"";"100";"25 – 75";"<2";"209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
