sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ethylene dichloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"ethylene dichloride";"1,2-dichloroethane";"107-06-2";"C2H4Cl2";"solvents";"";"pitting; stress corrosion cracking";"100";"0 – 225";"<2";"173,210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-6Mo (254SMO/ 6XN)";"ethylene dichloride";"1,2-dichloroethane";"107-06-2";"C2H4Cl2";"solvents";"";"";"100";"0 – 183";"<2";"173,210";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"ethylene dichloride";"1,2-dichloroethane";"107-06-2";"C2H4Cl2";"solvents";"";"";"100";"0 – 225";"<2";"173,210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 30-44-5-3W (G-30)";"ethylene dichloride";"1,2-dichloroethane";"107-06-2";"C2H4Cl2";"solvents";"";"";"100";"0 – 225";"<2";"173,210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Aluminum Alloy (3003/ 5154)";"ethylene dichloride";"1,2-dichloroethane";"107-06-2";"C2H4Cl2";"solvents";"hazardous!";"";"100";"25 – 225";"<20";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"ethylene dichloride";"1,2-dichloroethane";"107-06-2";"C2H4Cl2";"solvents";"";"pitting; stress corrosion cracking";"100";"25 – 175";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"ethylene dichloride";"1,2-dichloroethane";"107-06-2";"C2H4Cl2";"solvents";"";"pitting; stress corrosion cracking";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Brass (>15Zn)";"ethylene dichloride";"1,2-dichloroethane";"107-06-2";"C2H4Cl2";"solvents";"";"";"100";"25 – 175";"20 – 50";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Brass (>15Zn)";"ethylene dichloride";"1,2-dichloroethane";"107-06-2";"C2H4Cl2";"solvents";"";"";"100";"175 – 225";"<20";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Cast Iron, Gray/ Ductile";"ethylene dichloride";"1,2-dichloroethane";"107-06-2";"C2H4Cl2";"solvents";"";"";"100";"25 – 225";"<20";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Copper/ Bronze/ Low Brass";"ethylene dichloride";"1,2-dichloroethane";"107-06-2";"C2H4Cl2";"solvents";"";"";"100";"25 – 175";"20 – 50";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Copper/ Bronze/ Low Brass";"ethylene dichloride";"1,2-dichloroethane";"107-06-2";"C2H4Cl2";"solvents";"";"";"100";"175 – 225";"<20";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Cr Stainless Steel (12Cr)";"ethylene dichloride";"1,2-dichloroethane";"107-06-2";"C2H4Cl2";"solvents";"";"pitting";"100";"25 – 225";"<20";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Duplex Stainless Steel (25-6-3)";"ethylene dichloride";"1,2-dichloroethane";"107-06-2";"C2H4Cl2";"solvents";"";"";"100";"0 – 183";"<2";"173,210";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Gold/ Platinum";"ethylene dichloride";"1,2-dichloroethane";"107-06-2";"C2H4Cl2";"solvents";"";"";"100";"25 – 225";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Lead";"ethylene dichloride";"1,2-dichloroethane";"107-06-2";"C2H4Cl2";"solvents";"";"";"100";"25 – 225";"<20";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Nickel (200)";"ethylene dichloride";"1,2-dichloroethane";"107-06-2";"C2H4Cl2";"solvents";"";"";"100";"25 – 225";"<20";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Nickel Cast Iron (15-35Ni)";"ethylene dichloride";"1,2-dichloroethane";"107-06-2";"C2H4Cl2";"solvents";"";"";"100";"25 – 225";"<20";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Nickel-Copper (400)";"ethylene dichloride";"1,2-dichloroethane";"107-06-2";"C2H4Cl2";"solvents";"";"";"100";"25 – 225";"<20";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Ni-Cr-Fe Alloy (600/ 690)";"ethylene dichloride";"1,2-dichloroethane";"107-06-2";"C2H4Cl2";"solvents";"";"";"100";"25 – 225";"<20";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Ni-Mo Alloy (Ni-30Mo; B-2)";"ethylene dichloride";"1,2-dichloroethane";"107-06-2";"C2H4Cl2";"solvents";"";"";"100";"25 – 225";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Silicon Cast Iron (14Si)";"ethylene dichloride";"1,2-dichloroethane";"107-06-2";"C2H4Cl2";"solvents";"";"";"100";"52 – 237";"<2";"210,218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Silver";"ethylene dichloride";"1,2-dichloroethane";"107-06-2";"C2H4Cl2";"solvents";"";"";"100";"25 – 225";"<20";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Steels, Carbon/ Low Alloy";"ethylene dichloride";"1,2-dichloroethane";"107-06-2";"C2H4Cl2";"solvents";"";"";"100";"25 – 225";"<20";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Tantalum";"ethylene dichloride";"1,2-dichloroethane";"107-06-2";"C2H4Cl2";"solvents";"";"";"100";"25 – 225";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Titanium, Unalloyed";"ethylene dichloride";"1,2-dichloroethane";"107-06-2";"C2H4Cl2";"solvents";"";"";"100";"0 – 225";"<2";"173,210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Zirconium";"ethylene dichloride";"1,2-dichloroethane";"107-06-2";"C2H4Cl2";"solvents";"";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
