sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ferric sulfate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Lead";"ferric sulfate";"iron sulfate";"10028-22-5";"Fe2O12S3";"salts";"";"5 – 25";"25 – 175";"<2";"48,136,207,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"ferric sulfate";"iron sulfate";"10028-22-5";"Fe2O12S3";"salts";"";"5 – 35";"25 – 125";"<2";"48,136,207,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"ferric sulfate";"iron sulfate";"10028-22-5";"Fe2O12S3";"salts";"";"5 – 35";"125 – 175";"<20";"48,136,207,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"ferric sulfate";"iron sulfate";"10028-22-5";"Fe2O12S3";"salts";"";"5 – 35";"25 – 125";"<2";"48,136,207,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"ferric sulfate";"iron sulfate";"10028-22-5";"Fe2O12S3";"salts";"";"5 – 35";"125 – 175";"<20";"48,136,207,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"ferric sulfate";"iron sulfate";"10028-22-5";"Fe2O12S3";"salts";"";"5 – 35";"25 – 125";"<2";"48,136,207,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"ferric sulfate";"iron sulfate";"10028-22-5";"Fe2O12S3";"salts";"";"5 – 35";"125 – 175";"<20";"48,136,207,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"ferric sulfate";"iron sulfate";"10028-22-5";"Fe2O12S3";"salts";"";"5 – 35";"25 – 125";"<2";"48,136,207,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"ferric sulfate";"iron sulfate";"10028-22-5";"Fe2O12S3";"salts";"";"5 – 35";"125 – 175";"<20";"48,136,207,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"ferric sulfate";"iron sulfate";"10028-22-5";"Fe2O12S3";"salts";"";"5 – 35";"25 – 125";"<2";"48,136,207,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
