sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Phenol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"phenol";"hydroxybenzene";"108-95-2";"C6H6O";"phenols";"3";"not recommended; tension modulus -45% at 5%, 1% recommended";"5";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Acetal Resins (Polyoxymethylene)";"";"phenol";"hydroxybenzene";"108-95-2";"C6H6O";"phenols";"3";"not recommended";"5 – 80";"70 – 212";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"phenol";"hydroxybenzene";"108-95-2";"C6H6O";"phenols";"3";"not recommended; may dissolve ";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Cellulose Acetate";"";"phenol";"hydroxybenzene";"108-95-2";"C6H6O";"phenols";"3";"not recommended; disintegrated";"5";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"5";"Cellulose Acetate Butyrate";"";"phenol";"hydroxybenzene";"108-95-2";"C6H6O";"phenols";"3";"not recommended; disintegrated";"<5";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"6";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"phenol";"hydroxybenzene";"108-95-2";"C6H6O";"phenols";"1";"recommended";"5";"75";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"7";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"phenol";"hydroxybenzene";"108-95-2";"C6H6O";"phenols";"3";"not recommended";"10";"75";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"8";"Chlorinated Polyvinyl Chloride (CPVC)";"";"phenol";"hydroxybenzene";"108-95-2";"C6H6O";"phenols";"1";"recommended";"100";"70 – 150";"";"";"1, 2";"";"";"";"";"";"";"";"";"";"";""
"9";"Chlorosulfonated Polyethylene";"";"phenol";"hydroxybenzene";"108-95-2";"C6H6O";"phenols";"1";"recommended";"1";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"10";"Chlorosulfonated Polyethylene";"";"phenol";"hydroxybenzene";"108-95-2";"C6H6O";"phenols";"3";"not recommended";"1";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
