sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Chloropicrin";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"chloropicrin";"trichloronitromethane";"1976-06-02";"CCl3NO2";"halogenated aliphatics";"";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"chloropicrin";"trichloronitromethane";"1976-06-02";"CCl3NO2";"halogenated aliphatics";"";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"chloropicrin";"trichloronitromethane";"1976-06-02";"CCl3NO2";"halogenated aliphatics";"";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"chloropicrin";"trichloronitromethane";"1976-06-02";"CCl3NO2";"halogenated aliphatics";"hazardous!";"100";"25 – 75";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"chloropicrin";"trichloronitromethane";"1976-06-02";"CCl3NO2";"halogenated aliphatics";"";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"chloropicrin";"trichloronitromethane";"1976-06-02";"CCl3NO2";"halogenated aliphatics";"";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Lead";"chloropicrin";"trichloronitromethane";"1976-06-02";"CCl3NO2";"halogenated aliphatics";"";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"chloropicrin";"trichloronitromethane";"1976-06-02";"CCl3NO2";"halogenated aliphatics";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"chloropicrin";"trichloronitromethane";"1976-06-02";"CCl3NO2";"halogenated aliphatics";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"chloropicrin";"trichloronitromethane";"1976-06-02";"CCl3NO2";"halogenated aliphatics";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
