sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ammonium persulfate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Gold/ Platinum";"ammonium persulfate";"ammonium peroxydisulfate";"7727-54-0";"H8N2O8S2";"oxidizing agents";"5 – 45";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Gold/ Platinum";"ammonium persulfate";"ammonium peroxydisulfate";"7727-54-0";"H8N2O8S2";"oxidizing agents";"45 – 65";"75 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Gold/ Platinum";"ammonium persulfate";"ammonium peroxydisulfate";"7727-54-0";"H8N2O8S2";"oxidizing agents";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Lead";"ammonium persulfate";"ammonium peroxydisulfate";"7727-54-0";"H8N2O8S2";"oxidizing agents";"5 – 35";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"ammonium persulfate";"ammonium peroxydisulfate";"7727-54-0";"H8N2O8S2";"oxidizing agents";"5 – 15";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"ammonium persulfate";"ammonium peroxydisulfate";"7727-54-0";"H8N2O8S2";"oxidizing agents";"5 – 15";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"ammonium persulfate";"ammonium peroxydisulfate";"7727-54-0";"H8N2O8S2";"oxidizing agents";"5 – 15";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"ammonium persulfate";"ammonium peroxydisulfate";"7727-54-0";"H8N2O8S2";"oxidizing agents";"5 – 15";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"ammonium persulfate";"ammonium peroxydisulfate";"7727-54-0";"H8N2O8S2";"oxidizing agents";"5 – 15";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Nickel (200)";"ammonium persulfate";"ammonium peroxydisulfate";"7727-54-0";"H8N2O8S2";"oxidizing agents";"5 – 35";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
