sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Aniline";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"aniline";"benzenamine";"62-53-3";"C6H7N";"amines";"";"";"100";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"aniline";"benzenamine";"62-53-3";"C6H7N";"amines";"";"";"100";"325 – 475";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"aniline";"benzenamine";"62-53-3";"C6H7N";"amines";"";"";"100";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"aniline";"benzenamine";"62-53-3";"C6H7N";"amines";"";"";"100";"325 – 475";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"aniline";"benzenamine";"62-53-3";"C6H7N";"amines";"";"";"100";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"aniline";"benzenamine";"62-53-3";"C6H7N";"amines";"";"";"100";"325 – 475";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"aniline";"benzenamine";"62-53-3";"C6H7N";"amines";"";"";"100";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"aniline";"benzenamine";"62-53-3";"C6H7N";"amines";"";"";"100";"325 – 475";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"aniline";"benzenamine";"62-53-3";"C6H7N";"amines";"";"";"100";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"aniline";"benzenamine";"62-53-3";"C6H7N";"amines";"";"";"100";"325 – 475";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
