sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Hydrazine";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"hydrazine";"302-01-2";"H4N2";"hydrazines";"";"";"5 – 55";"25 – 75";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"hydrazine";"302-01-2";"H4N2";"hydrazines";"";"";"100";"25 – 175";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"hydrazine";"302-01-2";"H4N2";"hydrazines";"";"";"5 – 55";"25 – 75";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"hydrazine";"302-01-2";"H4N2";"hydrazines";"";"";"100";"25 – 175";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 30-44-5-3W (G-30)";"hydrazine";"302-01-2";"H4N2";"hydrazines";"";"";"5 – 55";"25 – 75";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 30-44-5-3W (G-30)";"hydrazine";"302-01-2";"H4N2";"hydrazines";"";"";"100";"25 – 175";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Aluminum Alloy (3003/ 5154)";"hydrazine";"302-01-2";"H4N2";"hydrazines";"";"";"5 – 95";"25 – 75";"20 – 50";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Aluminum Alloy (3003/ 5154)";"hydrazine";"302-01-2";"H4N2";"hydrazines";"";"";"100";"25 – 175";"<2";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"hydrazine";"302-01-2";"H4N2";"hydrazines";"";"";">5";"25 – 225";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"hydrazine";"302-01-2";"H4N2";"hydrazines";"";"";"5 – 55";"25 – 75";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"hydrazine";"302-01-2";"H4N2";"hydrazines";"";"";"100";"25 – 175";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Brass (>15Zn)";"hydrazine";"302-01-2";"H4N2";"hydrazines";"severe corrosion with oxygen ingress";"";"5 – 55";"25 – 75";">50";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Brass (>15Zn)";"hydrazine";"302-01-2";"H4N2";"hydrazines";"severe corrosion with oxygen ingress";"";">75";"25 – 75";">50";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Brass (>15Zn)";"hydrazine";"302-01-2";"H4N2";"hydrazines";"severe corrosion with oxygen ingress";"";"100";"25 – 125";">50";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Cast Iron, Gray/ Ductile";"hydrazine";"302-01-2";"H4N2";"hydrazines";"";"";"5 – 65";"25 – 75";">50";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Copper/ Bronze/ Low Brass";"hydrazine";"302-01-2";"H4N2";"hydrazines";"severe corrosion with oxygen ingress";"";"5 – 45";"25 – 75";">50";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Copper/ Bronze/ Low Brass";"hydrazine";"302-01-2";"H4N2";"hydrazines";"severe corrosion with oxygen ingress";"";">85";"25 – 75";">50";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Copper/ Bronze/ Low Brass";"hydrazine";"302-01-2";"H4N2";"hydrazines";"severe corrosion with oxygen ingress";"";"100";"25 – 125";">50";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Copper-Nickel";"hydrazine";"302-01-2";"H4N2";"hydrazines";"severe corrosion with oxygen ingress";"";">85";"25 – 75";">50";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Cr Stainless Steel (12Cr)";"hydrazine";"302-01-2";"H4N2";"hydrazines";"";"pitting";"100";"25 – 75";"<20";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Cr Stainless Steel (17Cr)";"hydrazine";"302-01-2";"H4N2";"hydrazines";"";"pitting";"100";"25 – 75";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Cr Stainless Steel (17Cr)";"hydrazine";"302-01-2";"H4N2";"hydrazines";"";"";"100";"175 – 225";">50";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Gold/ Platinum";"hydrazine";"302-01-2";"H4N2";"hydrazines";"";"";"5 – 15";"175 – 225";">50";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Gold/ Platinum";"hydrazine";"302-01-2";"H4N2";"hydrazines";"";"";"5 – 55";"25 – 75";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Gold/ Platinum";"hydrazine";"302-01-2";"H4N2";"hydrazines";"";"";"45 – 55";"175 – 225";">50";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Lead";"hydrazine";"302-01-2";"H4N2";"hydrazines";"";"";">5";"25 – 75";">50";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"hydrazine";"302-01-2";"H4N2";"hydrazines";"";"";"100";"25 – 75";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
