sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Potassium bromide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"potassium bromide";"7758-02-03";"BrK";"salts";"";"<40";"68";"<2";"77,190,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"potassium bromide";"7758-02-03";"BrK";"salts";"";"5 – 40";"70 – 225";"<20";"77,190,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"potassium bromide";"7758-02-03";"BrK";"salts";"";"5 – 40";"25 – 225";"<20";"77,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 30-44-5-3W (G-30)";"potassium bromide";"7758-02-03";"BrK";"salts";"";"5 – 40";"25 – 225";"<20";"77,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Aluminum Alloy (3003/ 5154)";"potassium bromide";"7758-02-03";"BrK";"salts";"";"5 – 15";"75 – 125";">50";"77,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Aluminum Alloy (3003/ 5154)";"potassium bromide";"7758-02-03";"BrK";"salts";"";"5 – 40";"25 – 75";"20 – 50";"77,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"potassium bromide";"7758-02-03";"BrK";"salts";"pitting";"5 – 40";"25 – 225";"<20";"77,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"potassium bromide";"7758-02-03";"BrK";"salts";"pitting";"5 – 40";"25 – 225";"<20";"77,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Brass (>15Zn)";"potassium bromide";"7758-02-03";"BrK";"salts";"";"5 – 40";"25 – 225";"<20";"77,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Cast Iron, Gray/ Ductile";"potassium bromide";"7758-02-03";"BrK";"salts";"";"5 – 40";"25 – 225";"20 – 50";"77,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Copper/ Bronze/ Low Brass";"potassium bromide";"7758-02-03";"BrK";"salts";"";"5 – 40";"25 – 225";"<20";"77,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Copper-Nickel";"potassium bromide";"7758-02-03";"BrK";"salts";"";"5 – 40";"25 – 225";"<20";"77,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Cr Stainless Steel (12Cr)";"potassium bromide";"7758-02-03";"BrK";"salts";"";"5 – 40";"25 – 225";"<20";"77,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Cr Stainless Steel (17Cr)";"potassium bromide";"7758-02-03";"BrK";"salts";"";"5 – 40";"25 – 225";"<20";"77,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Gold/ Platinum";"potassium bromide";"7758-02-03";"BrK";"salts";"";"5 – 40";"25 – 225";"<2";"77,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Lead";"potassium bromide";"7758-02-03";"BrK";"salts";"";"5 – 40";"25 – 225";"<20";"77,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"potassium bromide";"7758-02-03";"BrK";"salts";"";"5 – 40";"25 – 75";"<2";"77,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"potassium bromide";"7758-02-03";"BrK";"salts";"";"5 – 40";"75 – 225";"<20";"77,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"potassium bromide";"7758-02-03";"BrK";"salts";"";"5 – 40";"25 – 75";"<2";"77,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
