sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ammonium carbonate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"ammonium carbonate";"";"506-87-6";"CH8N2O3";"salts";"1";"recommended";">10";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"ammonium carbonate";"";"506-87-6";"CH8N2O3";"salts";"1";"recommended";">10";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"ammonium carbonate";"";"506-87-6";"CH8N2O3";"salts";"1";"recommended";"30";"110";"<6";"16";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"ammonium carbonate";"";"506-87-6";"CH8N2O3";"salts";"3";"not recommended";"10";"165";"<6";"16";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"";"ammonium carbonate";"";"506-87-6";"CH8N2O3";"salts";"1";"recommended";"100";"75";"";"16";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Chlorinated Polyvinyl Chloride (CPVC)";"";"ammonium carbonate";"";"506-87-6";"CH8N2O3";"salts";"1";"recommended";"100";"70 – 212";"";"1, 20";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Chlorosulfonated Polyethylene";"";"ammonium carbonate";"";"506-87-6";"CH8N2O3";"salts";"1";"recommended";">10";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Epoxy Cements";"";"ammonium carbonate";"";"506-87-6";"CH8N2O3";"salts";"1";"recommended";"50";"68";"<6";"5";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Epoxy Cements";"";"ammonium carbonate";"";"506-87-6";"CH8N2O3";"salts";"1";"recommended";"50";"140";"";"5";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"ammonium carbonate";"";"506-87-6";"CH8N2O3";"salts";"1";"recommended; >3 years";"10 – 50";"80 – 175";">12";"1";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Epoxy Resin, Glass Fiber- Reinforced";"";"ammonium carbonate";"saturated";"506-87-6";"CH8N2O3";"salts";"1";"recommended";"100";"70 – 200";"";"1, 19";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Fluororubber";"";"ammonium carbonate";"";"506-87-6";"CH8N2O3";"salts";"1";"recommended";">10";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
