sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Sodium phosphate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"sodium phosphate";"";"salts";"1";"recommended";"100";"70 – 150";"";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Fluororubber";"";"sodium phosphate";"";"salts";"1";"recommended";"10 – 70";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Fluororubber";"";"sodium phosphate";"saturated";"salts";"1";"recommended";"70";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"sodium phosphate";"tribasic";"salts";"1";"recommended";"20";"70 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"sodium phosphate";"trisodium";"salts";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"sodium phosphate";"";"salts";"1";"recommended";"100";"70 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Glass, Chemical";"";"sodium phosphate";"";"salts";"2";"questionable";"10 – 20";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Glass, Chemical";"";"sodium phosphate";"";"salts";"3";"not recommended";"10 – 20";"150 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Glassed Steel";"";"sodium phosphate";"";"salts";"1";"recommended";"10";"50 – 150";"";"~1-5%, ";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Glassed Steel";"";"sodium phosphate";"";"salts";"1";"recommended";"10 – 20";"50 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
