sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Phosphorus pentoxide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"phosphorus pentoxide";"phosphorus oxide";"1314-56-3";"O5P2";"2";"questionable";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"phosphorus pentoxide";"phosphorus oxide";"1314-56-3";"O5P2";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"phosphorus pentoxide";"phosphorus oxide";"1314-56-3";"O5P2";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Chlorosulfonated Polyethylene";"";"phosphorus pentoxide";"phosphorus oxide";"1314-56-3";"O5P2";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Epoxy Resin, Glass Fiber- Reinforced";"";"phosphorus pentoxide";"phosphorus oxide";"1314-56-3";"O5P2";"1";"recommended";"10 – 50";"70 – 200";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Fluororubber";"";"phosphorus pentoxide";"phosphorus oxide";"1314-56-3";"O5P2";"1";"recommended";"100";"70 – 150";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Polychloroprene";"";"phosphorus pentoxide";"phosphorus oxide";"1314-56-3";"O5P2";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Polyesters, Glass Fiber-Reinforced";"";"phosphorus pentoxide";"phosphorus oxide";"1314-56-3";"O5P2";"1";"recommended";"";"70 – 90";"";"with Dynel veil; plus fluorine; 0.5%";"1";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Polyethylene (PE)";"";"phosphorus pentoxide";"phosphorus oxide";"1314-56-3";"O5P2";"1";"recommended";"100";"70 – 150";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Polyvinyl Chloride (PVC)";"";"phosphorus pentoxide";"phosphorus oxide";"1314-56-3";"O5P2";"2";"questionable";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Polyvinyl Chloride (PVC)";"";"phosphorus pentoxide";"phosphorus oxide";"1314-56-3";"O5P2";"3";"not recommended";"100";"80 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Polyvinylidene Fluoride (PVDF)";"Kynar";"phosphorus pentoxide";"phosphorus oxide";"1314-56-3";"O5P2";"1";"recommended";"100";"70 – 175";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Rubber, Butyl (BR)";"";"phosphorus pentoxide";"phosphorus oxide";"1314-56-3";"O5P2";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Rubber, Natural (NR)";"";"phosphorus pentoxide";"phosphorus oxide";"1314-56-3";"O5P2";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
