sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Magnesium hydroxide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"magnesium hydroxide";"";"1309-42-8";"H2MgO2";"hydroxides";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Chlorinated Polyvinyl Chloride (CPVC)";"";"magnesium hydroxide";"";"1309-42-8";"H2MgO2";"hydroxides";"1";"recommended";"100";"70 – 212";"";"";"1, 20";"";"";"";"";"";"";"";"";"";"";""
"3";"Chlorosulfonated Polyethylene";"";"magnesium hydroxide";"";"1309-42-8";"H2MgO2";"hydroxides";"1";"recommended";">10";"70 – 150";"";"slurries";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Epoxy Resin, Glass Fiber- Reinforced";"";"magnesium hydroxide";"";"1309-42-8";"H2MgO2";"hydroxides";"1";"recommended";"4.9";"70 – 212";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"5";"Epoxy Resin, Glass Fiber- Reinforced";"";"magnesium hydroxide";"saturated";"1309-42-8";"H2MgO2";"hydroxides";"1";"recommended";"100";"70 – 200";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"6";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"magnesium hydroxide";"";"1309-42-8";"H2MgO2";"hydroxides";"1";"recommended";"100";"70 – 150";"";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";"";""
"7";"Nylon";"";"magnesium hydroxide";"";"1309-42-8";"H2MgO2";"hydroxides";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"8";"Polyethylene (PE)";"";"magnesium hydroxide";"saturated";"1309-42-8";"H2MgO2";"hydroxides";"1";"recommended";"10";"70 – 150";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";""
"9";"Polymethyl Methacrylate (PMMA)";"";"magnesium hydroxide";"";"1309-42-8";"H2MgO2";"hydroxides";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"10";"Polyphenylene Sulfide (40% Glass-Filled)";"Fortron PPS";"magnesium hydroxide";"";"1309-42-8";"H2MgO2";"hydroxides";"1";"recommended";"100";"0 – 200";"<1";"";"11";"";"";"";"";"";"";"";"";"";"";""
"11";"Polypropylene (PP)";"";"magnesium hydroxide";"saturated";"1309-42-8";"H2MgO2";"hydroxides";"1";"recommended";"10";"60 – 150";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";""
"12";"Polypropylene (PP)";"";"magnesium hydroxide";"";"1309-42-8";"H2MgO2";"hydroxides";"1";"recommended";"100";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"13";"Polyvinyl Chloride (PVC)";"";"magnesium hydroxide";"";"1309-42-8";"H2MgO2";"hydroxides";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"14";"Polyvinylidene Chloride (PVDC)";"Saran brand resin";"magnesium hydroxide";"";"1309-42-8";"H2MgO2";"hydroxides";"1";"recommended";"100";"175";"";"";"6";"";"";"";"";"";"";"";"";"";"";""
"15";"Polyvinylidene Fluoride (PVDF)";"";"magnesium hydroxide";"";"1309-42-8";"H2MgO2";"hydroxides";"1";"recommended";"100";"70 – 275";"";"";"1, 23";"";"";"";"";"";"";"";"";"";"";""
"16";"Wood";"";"magnesium hydroxide";"";"1309-42-8";"H2MgO2";"hydroxides";"1";"recommended; >17 years";"10";"70 – 175";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
