sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Butyl ether";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"butyl ether";"ethers";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"butyl ether";"ethers";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Chlorosulfonated Polyethylene";"";"butyl ether";"ethers";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"butyl ether";"ethers";"1";"recommended";"100";"70 – 90";"";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Fluororubber";"";"butyl ether";"ethers";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Fluororubber";"";"butyl ether";"ethers";"2";"questionable";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Furfuryl Alcohol Resin, Asbestos-Reinforced";"";"butyl ether";"ethers";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"butyl ether";"ethers";"1";"recommended";"100";"70 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Phenolic Resins, Asbestos-Reinforced";"";"butyl ether";"ethers";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Phenolic Resins, Asbestos-Reinforced";"";"butyl ether";"ethers";"1";"recommended";"100";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Polychloroprene";"";"butyl ether";"ethers";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Polyphenylene Sulfide (40% Glass-Filled)";"Fortron PPS";"butyl ether";"ethers";"1";"recommended";"100";"0 – 200";"<1";"";"11";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Polyphenylene Sulfide, Glass Fiber-Reinforced";"Ryton PPS R-4";"butyl ether";"ethers";"1";"recommended";"100";"200";"<12";"";"18";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Rubber, Butyl (BR)";"";"butyl ether";"ethers";"2";"questionable";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Rubber, Natural (NR)";"";"butyl ether";"ethers";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
