sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Carbon disulfide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"carbon disulfide";"carbon bisulfide";"gas";"75-15-0";"CS2";"solvents";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"carbon disulfide";"carbon bisulfide";"gas";"75-15-0";"CS2";"solvents";"3";"not recommended";"100";"60 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"3";"Cellulose Acetate";"";"carbon disulfide";"carbon bisulfide";"gas";"75-15-0";"CS2";"solvents";"1";"recommended";"100";"60 – 70";">12";"";"1";"";"";"";"";"";"";"";"";"";""
"4";"Cellulose Acetate";"";"carbon disulfide";"carbon bisulfide";"gas";"75-15-0";"CS2";"solvents";"3";"not recommended; ";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";""
"5";"Cellulose Acetate Butyrate";"";"carbon disulfide";"carbon bisulfide";"gas";"75-15-0";"CS2";"solvents";"3";"not recommended; softened; swollen; weight gain";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";""
"6";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"carbon disulfide";"carbon bisulfide";"";"75-15-0";"CS2";"solvents";"3";"not recommended";"100";"75";"<6";"";"16";"";"";"";"";"";"";"";"";"";""
"7";"Chlorinated Polyvinyl Chloride (CPVC)";"";"carbon disulfide";"carbon bisulfide";"gas";"75-15-0";"CS2";"solvents";"3";"not recommended";"100";"70 – 212";"";"";"1, 2";"";"";"";"";"";"";"";"";"";""
"8";"Chlorosulfonated Polyethylene";"";"carbon disulfide";"carbon bisulfide";"gas";"75-15-0";"CS2";"solvents";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"9";"Concrete";"";"carbon disulfide";"carbon bisulfide";"";"75-15-0";"CS2";"solvents";"2";"questionable";"100";"60 – 70";"";"permeable";"1";"";"";"";"";"";"";"";"";"";""
"10";"Epoxy Resin, Glass Fiber- Reinforced";"";"carbon disulfide";"carbon bisulfide";"gas";"75-15-0";"CS2";"solvents";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"11";"Epoxy Resin, Glass Fiber- Reinforced";"";"carbon disulfide";"carbon bisulfide";"liquid";"75-15-0";"CS2";"solvents";"1";"recommended";"100";"120";"";"";"19";"";"";"";"";"";"";"";"";"";""
"12";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"carbon disulfide";"carbon bisulfide";"";"75-15-0";"CS2";"solvents";"1";"recommended";"100";"70 – 100";"";"cyclic immersion; immersed";"1, 22";"";"";"";"";"";"";"";"";"";""
"13";"Fluororubber";"";"carbon disulfide";"carbon bisulfide";"gas";"75-15-0";"CS2";"solvents";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"14";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"carbon disulfide";"carbon bisulfide";"gas";"75-15-0";"CS2";"solvents";"1";"recommended";"100";"70 – 125";">12";"";"1";"";"";"";"";"";"";"";"";"";""
"15";"Glass, Chemical";"";"carbon disulfide";"carbon bisulfide";"gas";"75-15-0";"CS2";"solvents";"1";"recommended";"100";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";""
"16";"Nylon";"";"carbon disulfide";"carbon bisulfide";"gas";"75-15-0";"CS2";"solvents";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"17";"Phenolic Resins, Asbestos-Reinforced";"";"carbon disulfide";"carbon bisulfide";"gas";"75-15-0";"CS2";"solvents";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"18";"Polychloroprene";"";"carbon disulfide";"carbon bisulfide";"gas";"75-15-0";"CS2";"solvents";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"19";"Polyesters, Glass Fiber-Reinforced";"";"carbon disulfide";"carbon bisulfide";"gas";"75-15-0";"CS2";"solvents";"1";"recommended; recommended in 25% vapor ";">10";"50 – 75";"";"";"1";"";"";"";"";"";"";"";"";"";""
"20";"Polyesters, Glass Fiber-Reinforced";"";"carbon disulfide";"carbon bisulfide";"gas";"75-15-0";"CS2";"solvents";"1";"recommended";"20";"75 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";""
"21";"Polyesters, Glass Fiber-Reinforced";"";"carbon disulfide";"carbon bisulfide";"gas";"75-15-0";"CS2";"solvents";"3";"not recommended";"100";"75 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"22";"Polymethyl Methacrylate (PMMA)";"";"carbon disulfide";"carbon bisulfide";"gas";"75-15-0";"CS2";"solvents";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"23";"Polyphenylene Sulfide (40% Glass-Filled)";"Fortron PPS";"carbon disulfide";"carbon bisulfide";"";"75-15-0";"CS2";"solvents";"1";"recommended";"100";"0 – 100";"<1";"";"11";"";"";"";"";"";"";"";"";"";""
"24";"Polypropylene (PP)";"";"carbon disulfide";"carbon bisulfide";"gas";"75-15-0";"CS2";"solvents";"2";"questionable; discolored; weight gain";"100";"60 – 70";"<6";"";"1";"";"";"";"";"";"";"";"";"";""
"25";"Polypropylene (PP)";"";"carbon disulfide";"carbon bisulfide";"gas";"75-15-0";"CS2";"solvents";"2";"questionable";"100";"70 – 150";"";"intermittent exposure";"1";"";"";"";"";"";"";"";"";"";""
"26";"Polypropylene (PP)";"";"carbon disulfide";"carbon bisulfide";"gas";"75-15-0";"CS2";"solvents";"3";"not recommended";"100";"150 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"27";"Polyvinyl Chloride (PVC)";"";"carbon disulfide";"carbon bisulfide";"";"75-15-0";"CS2";"solvents";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"28";"Polyvinylidene Chloride (PVDC)";"Saran brand resin";"carbon disulfide";"carbon bisulfide";"";"75-15-0";"CS2";"solvents";"1";"recommended";"100";"75";"";"";"6";"";"";"";"";"";"";"";"";"";""
"29";"Polyvinylidene Fluoride (PVDF)";"Kynar";"carbon disulfide";"carbon bisulfide";"gas";"75-15-0";"CS2";"solvents";"1";"recommended";"100";"60 – 70";"";"";"1, 17";"";"";"";"";"";"";"";"";"";""
"30";"Polyvinylidene Fluoride (PVDF)";"";"carbon disulfide";"carbon bisulfide";"gas";"75-15-0";"CS2";"solvents";"2";"questionable";"100";"70 – 100";"";"";"1, 17";"";"";"";"";"";"";"";"";"";""
"31";"Polyvinylidene Fluoride (PVDF)";"";"carbon disulfide";"carbon bisulfide";"gas";"75-15-0";"CS2";"solvents";"3";"not recommended";"100";"100 – 285";"";"";"1, 17";"";"";"";"";"";"";"";"";"";""
"32";"Rubber, Butyl (BR)";"";"carbon disulfide";"carbon bisulfide";"gas";"75-15-0";"CS2";"solvents";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"33";"Rubber, Natural (NR)";"";"carbon disulfide";"carbon bisulfide";"gas";"75-15-0";"CS2";"solvents";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"34";"Vinyl Ester Resins";"";"carbon disulfide";"carbon bisulfide";"gas";"75-15-0";"CS2";"solvents";"1";"recommended; vapor, 27-66°C (81-150°F); recommended in 25% vapor ";">10";"50 – 150";"";"";"7";"";"";"";"";"";"";"";"";"";""
"35";"Wood";"";"carbon disulfide";"carbon bisulfide";"gas";"75-15-0";"CS2";"solvents";"1";"recommended";"10";"60 – 70";"";"permeable";"1";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
