sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ferrous nitrate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"ferrous nitrate";"iron nitrate";"14013-86-6";"FeN2O6";"salts";"1";"recommended; over 3 years";">10";"75 – 212";">12";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Polyesters, Glass Fiber-Reinforced";"ferrous nitrate";"iron nitrate";"14013-86-6";"FeN2O6";"salts";"1";"recommended";">10";"70 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Polypropylene (PP)";"ferrous nitrate";"iron nitrate";"14013-86-6";"FeN2O6";"salts";"1";"recommended";"100";"70 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Polyvinyl Chloride (PVC)";"ferrous nitrate";"iron nitrate";"14013-86-6";"FeN2O6";"salts";"1";"recommended";"100";"70 – 80";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Polyvinylidene Fluoride (PVDF)";"ferrous nitrate";"iron nitrate";"14013-86-6";"FeN2O6";"salts";"1";"recommended";"100";"70 – 275";"";"1, 23";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Vinyl Ester Resins";"ferrous nitrate";"iron nitrate";"14013-86-6";"FeN2O6";"salts";"1";"recommended";">10";"70 – 212";"";"7";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
