sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Isobutyl chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"isobutyl chloride";"1-chloro-2-methylpropane";"513-36-0";"C4H9Cl";"alkyl halides";"";"100";"25 – 225";"<20";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"isobutyl chloride";"1-chloro-2-methylpropane";"513-36-0";"C4H9Cl";"alkyl halides";"";"100";"25 – 225";"<20";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"isobutyl chloride";"1-chloro-2-methylpropane";"513-36-0";"C4H9Cl";"alkyl halides";"";"100";"25 – 225";"<20";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"isobutyl chloride";"1-chloro-2-methylpropane";"513-36-0";"C4H9Cl";"alkyl halides";"hazardous!";"100";"25 – 75";"<20";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Aluminum Alloy (3003/ 5154)";"isobutyl chloride";"1-chloro-2-methylpropane";"513-36-0";"C4H9Cl";"alkyl halides";"possible hazard";"100";"175 – 225";">50";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"isobutyl chloride";"1-chloro-2-methylpropane";"513-36-0";"C4H9Cl";"alkyl halides";"";"100";"25 – 225";"<20";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"isobutyl chloride";"1-chloro-2-methylpropane";"513-36-0";"C4H9Cl";"alkyl halides";"";"100";"25 – 225";"<20";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Brass (>15Zn)";"isobutyl chloride";"1-chloro-2-methylpropane";"513-36-0";"C4H9Cl";"alkyl halides";"";"100";"25 – 225";"<20";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Cast Iron, Gray/ Ductile";"isobutyl chloride";"1-chloro-2-methylpropane";"513-36-0";"C4H9Cl";"alkyl halides";"";"100";"25 – 225";"<20";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Copper/ Bronze/ Low Brass";"isobutyl chloride";"1-chloro-2-methylpropane";"513-36-0";"C4H9Cl";"alkyl halides";"";"100";"25 – 225";"<20";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Copper-Nickel";"isobutyl chloride";"1-chloro-2-methylpropane";"513-36-0";"C4H9Cl";"alkyl halides";"";"100";"25 – 225";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Cr Stainless Steel (12Cr)";"isobutyl chloride";"1-chloro-2-methylpropane";"513-36-0";"C4H9Cl";"alkyl halides";"";"100";"25 – 225";"<20";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
