sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ammonium sulfate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"ammonium sulfate";"7783-20-2";"H8N2O4S";"salts";"";"<50";"0 – 212";"<2";"15,162,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-6Mo (254SMO/ 6XN)";"ammonium sulfate";"7783-20-2";"H8N2O4S";"salts";"";"<50";"0 – 212";"<2";"15,162,215,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"ammonium sulfate";"7783-20-2";"H8N2O4S";"salts";"";"<50";"0 – 212";"<2";"15,162,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 30-44-5-3W (G-30)";"ammonium sulfate";"7783-20-2";"H8N2O4S";"salts";"";"<50";"0 – 212";"<2";"15,162,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Aluminum Alloy (3003/ 5154)";"ammonium sulfate";"7783-20-2";"H8N2O4S";"salts";"";"<50";"77";"<2";"15,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"ammonium sulfate";"7783-20-2";"H8N2O4S";"salts";"";"5 – 15";"175 – 225";">50";"15,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"ammonium sulfate";"7783-20-2";"H8N2O4S";"salts";"pitting; intergranular attack";"5 – 50";"25 – 75";"20 – 50";"15,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"ammonium sulfate";"7783-20-2";"H8N2O4S";"salts";"";"35 – 45";"75 – 175";"20 – 50";"15,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"ammonium sulfate";"7783-20-2";"H8N2O4S";"salts";"";"5 – 45";"25 – 225";"<20";"15,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"ammonium sulfate";"7783-20-2";"H8N2O4S";"salts";"";"45 – 50";"175 – 225";"<20";"15,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
