sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Polyethylene (PE)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Polyethylene (PE)";"acetaldehyde";"ethanal";"";"75-07-0";"C2H4O";"aldehydes";"2";"questionable";"40";"70 – 150";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";""
"2";"Polyethylene (PE)";"acetaldehyde";"ethanal";"";"75-07-0";"C2H4O";"aldehydes";"3";"not recommended";"100";"70 – 150";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";""
"3";"Polyethylene (PE)";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"1";"recommended; may stress crack; recommended in vapor 21-50°C (70-122°F); high density polyethylene";"10";"70 – 150";"[";"";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Polyethylene (PE)";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"1";"recommended";"20 – 70";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"5";"Polyethylene (PE)";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"2";"questionable";"20 – 70";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"6";"Polyethylene (PE)";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"2";"questionable";">80";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"7";"Polyethylene (PE)";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"3";"not recommended";">80";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"8";"Polyethylene (PE)";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"3";"not recommended";"100";"70 – 135";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"9";"Polyethylene (PE)";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"3";"not recommended; discolored, ";"100";"135 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"10";"Polyethylene (PE)";"acetic anhydride";"";"";"108-24-7";"C4H6O3";"anhydrides";"3";"not recommended; may stress crack";"100";"70 – 150";"";"";"1, 8";"";"";"";"";"";"";"";"";"";"";""
"11";"Polyethylene (PE)";"acetone";"2-propanone";"";"67-64-1";"C3H6O";"ketones";"2";"questionable";"100";"60 – 70";"";"may stress crack; swollen; weight gain; no problem for polyethylene with good ESCR (non HP resins); swelling and weight gain are minimal for linear polyethylene resins";"1, 8";"";"";"";"";"";"";"";"";"";"";""
"12";"Polyethylene (PE)";"acetone";"2-propanone";"";"67-64-1";"C3H6O";"ketones";"3";"not recommended";"100";"70 – 150";"";"";"1, 8";"";"";"";"";"";"";"";"";"";"";""
"13";"Polyethylene (PE)";"acetyl chloride";"ethanoyl chloride";"";"75-36-5";"C2H3ClO";"acid halides";"3";"not recommended";"100";"70 – 125";"";"low to moderate plasticizer";"1, 8";"";"";"";"";"";"";"";"";"";"";""
"14";"Polyethylene (PE)";"acrylic emulsion";"";"";"";"";"polymers";"1";"recommended; minor stress cracking";"100";"70 – 150";"";"";"1, 8";"";"";"";"";"";"";"";"";"";"";""
"15";"Polyethylene (PE)";"adipic acid";"";"";"124-04-9";"C6H10O4";"organic (weak) acids";"1";"recommended";"100";"70 – 150";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";""
"16";"Polyethylene (PE)";"air";"";"";"";"";"gases";"1";"recommended; compressed air not recommended - safety hazard; non-pressurized systems not restricted";"100";"60 – 90";"";"";"1, 8";"";"";"";"";"";"";"";"";"";"";""
"17";"Polyethylene (PE)";"air";"";"";"";"";"gases";"3";"not recommended";"100";"90 – 150";"";"embrittlement due to oxidation but properly protected polyethylene would take 50-100 years to embrittle at 66°C (150°F)";"1, 8";"";"";"";"";"";"";"";"";"";"";""
"18";"Polyethylene (PE)";"aldrin";"";"";"309-00-2";"C12H8Cl6";"agricultural chemicals";"1";"recommended";"100";"70 – 125";"";"plasticizer; ";"1, 8";"";"";"";"";"";"";"";"";"";"";""
"19";"Polyethylene (PE)";"aldrin";"";"";"309-00-2";"C12H8Cl6";"agricultural chemicals";"3";"not recommended";"100";"125 – 150";"";"";"1, 8";"";"";"";"";"";"";"";"";"";"";""
"20";"Polyethylene (PE)";"allyl alcohol";"2-propen-1-ol";"";"107-18-6";"C3H6O";"alcohols";"1";"recommended; may stress crack";"100";"70 – 150";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";""
"21";"Polyethylene (PE)";"allyl chloride";"3-chloropropene";"";"107-05-1";"C3H5Cl";"halogenated aliphatics";"2";"questionable";"100";"60 – 70";"";"plasticizer";"1, 8";"";"";"";"";"";"";"";"";"";"";""
"22";"Polyethylene (PE)";"aluminum ammonium sulfate";"ammonium alum";"";"7784-25-0";"AlH4NO8S2";"salts";"1";"recommended";">10";"125 – 150";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";""
