sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Sodium formate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Concrete";"sodium formate";"141-53-7";"CHNaO2";"organic acid salts";"1";"recommended";"100";"60 – 70";"~7pH; >7pH";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Fluororubber";"sodium formate";"141-53-7";"CHNaO2";"organic acid salts";"1";"recommended";"10 – 90";"70 – 212";"~7pH; 7pH";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Glass, Chemical";"sodium formate";"141-53-7";"CHNaO2";"organic acid salts";"1";"recommended";">10";"70 – 212";"~7pH; 7pH";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Polyethylene (PE)";"sodium formate";"141-53-7";"CHNaO2";"organic acid salts";"1";"recommended";">10";"70 – 125";"";"1, 21";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Wood";"sodium formate";"141-53-7";"CHNaO2";"organic acid salts";"1";"recommended";"10 – 90";"70 – 212";"~7pH";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
