sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Sodium sulfate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"sodium sulfate";"";"7757-82-6";"Na2O4S";"salts";"1";"recommended";"10 – 40";"60 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"sodium sulfate";"";"7757-82-6";"Na2O4S";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Cellulose Acetate Butyrate";"";"sodium sulfate";"";"7757-82-6";"Na2O4S";"salts";"2";"questionable; weight gain";"<1";"90 – 100";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Cellulose Acetate Butyrate";"";"sodium sulfate";"";"7757-82-6";"Na2O4S";"salts";"2";"questionable";"20";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"5";"Cellulose Acetate Butyrate";"";"sodium sulfate";"";"7757-82-6";"Na2O4S";"salts";"2";"questionable";"20";"90 – 100";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"6";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"sodium sulfate";"saturated";"7757-82-6";"Na2O4S";"salts";"1";"recommended";"100";"75";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"7";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"sodium sulfate";"saturated";"7757-82-6";"Na2O4S";"salts";"1";"recommended";"100";"75";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"8";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"";"sodium sulfate";"";"7757-82-6";"Na2O4S";"salts";"3";"not recommended";"100";"175";"";"";"16";"";"";"";"";"";"";"";"";"";"";""
"9";"Chlorinated Polyvinyl Chloride (CPVC)";"";"sodium sulfate";"";"7757-82-6";"Na2O4S";"salts";"1";"recommended";"100";"70 – 212";"";"";"1, 20";"";"";"";"";"";"";"";"";"";"";""
"10";"Chlorosulfonated Polyethylene";"";"sodium sulfate";"saturated";"7757-82-6";"Na2O4S";"salts";"1";"recommended";"20 – 50";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
