sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Sodium tartrate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"sodium tartrate";"868-18-8";"C4H4Na2O6";"organic acid salts";"5 – 25";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"sodium tartrate";"868-18-8";"C4H4Na2O6";"organic acid salts";"25 – 35";"175 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"sodium tartrate";"868-18-8";"C4H4Na2O6";"organic acid salts";"5 – 25";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"sodium tartrate";"868-18-8";"C4H4Na2O6";"organic acid salts";"25 – 35";"175 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 30-44-5-3W (G-30)";"sodium tartrate";"868-18-8";"C4H4Na2O6";"organic acid salts";"5 – 25";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 30-44-5-3W (G-30)";"sodium tartrate";"868-18-8";"C4H4Na2O6";"organic acid salts";"25 – 35";"175 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Aluminum Alloy (3003/ 5154)";"sodium tartrate";"868-18-8";"C4H4Na2O6";"organic acid salts";"5 – 25";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Aluminum Alloy (3003/ 5154)";"sodium tartrate";"868-18-8";"C4H4Na2O6";"organic acid salts";"25 – 35";"175 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"sodium tartrate";"868-18-8";"C4H4Na2O6";"organic acid salts";"5 – 25";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"sodium tartrate";"868-18-8";"C4H4Na2O6";"organic acid salts";"25 – 35";"175 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
