sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Amyl mercaptan";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"amyl mercaptan";"thiols";"100";"25 – 325";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"amyl mercaptan";"thiols";"100";"25 – 325";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"amyl mercaptan";"thiols";"100";"25 – 325";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"amyl mercaptan";"thiols";"100";"0 – 104";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Aluminum Alloy (3003/ 5154)";"amyl mercaptan";"thiols";"100";"104 – 275";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Aluminum Alloy (3003/ 5154)";"amyl mercaptan";"thiols";"100";"275 – 325";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"amyl mercaptan";"thiols";"100";"25 – 325";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"amyl mercaptan";"thiols";"100";"25 – 325";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Brass (>15Zn)";"amyl mercaptan";"thiols";"100";"175 – 225";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Cast Iron, Gray/ Ductile";"amyl mercaptan";"thiols";"100";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Cast Iron, Gray/ Ductile";"amyl mercaptan";"thiols";"100";"225 – 275";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Copper/ Bronze/ Low Brass";"amyl mercaptan";"thiols";"100";"175 – 225";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Copper-Nickel";"amyl mercaptan";"thiols";"100";"175 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Cr Stainless Steel (12Cr)";"amyl mercaptan";"thiols";"100";"25 – 275";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Cr Stainless Steel (17Cr)";"amyl mercaptan";"thiols";"100";"25 – 275";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Gold/ Platinum";"amyl mercaptan";"thiols";"100";"25 – 275";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Lead";"amyl mercaptan";"thiols";"100";"275 – 325";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"amyl mercaptan";"thiols";"100";"25 – 325";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"amyl mercaptan";"thiols";"100";"25 – 325";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"amyl mercaptan";"thiols";"100";"25 – 325";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"amyl mercaptan";"thiols";"100";"25 – 325";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"amyl mercaptan";"thiols";"100";"25 – 325";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Nickel (200)";"amyl mercaptan";"thiols";"100";"25 – 325";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Nickel Cast Iron (15-35Ni)";"amyl mercaptan";"thiols";"100";"25 – 275";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Nickel-Copper (400)";"amyl mercaptan";"thiols";"100";"25 – 325";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Ni-Cr-Fe Alloy (600/ 690)";"amyl mercaptan";"thiols";"100";"25 – 325";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Ni-Mo Alloy (Ni-30Mo; B-2)";"amyl mercaptan";"thiols";"100";"25 – 325";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Silicon Cast Iron (14Si)";"amyl mercaptan";"thiols";"100";"52 – 237";"<20";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Steels, Carbon/ Low Alloy";"amyl mercaptan";"thiols";"100";"25 – 75";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Steels, Carbon/ Low Alloy";"amyl mercaptan";"thiols";"100";"225 – 275";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Superferritic Stainless Steel (26-1)";"amyl mercaptan";"thiols";"100";"25 – 275";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Tantalum";"amyl mercaptan";"thiols";"100";"25 – 275";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
