sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Potassium bromide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"potassium bromide";"";"7758-02-03";"BrK";"salts";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Acetal Resins (Polyoxymethylene)";"";"potassium bromide";"";"7758-02-03";"BrK";"salts";"2";"questionable";">10";"150 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Acetal Resins (Polyoxymethylene)";"";"potassium bromide";"";"7758-02-03";"BrK";"salts";"3";"not recommended";">10";"175 – 200";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"potassium bromide";"";"7758-02-03";"BrK";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"5";"Cellulose Acetate Butyrate";"";"potassium bromide";"";"7758-02-03";"BrK";"salts";"2";"questionable; weight gain";"<3";"90 – 100";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"6";"Chlorinated Polyvinyl Chloride (CPVC)";"";"potassium bromide";"";"7758-02-03";"BrK";"salts";"1";"recommended";"100";"70 – 212";"";"";"1, 2";"";"";"";"";"";"";"";"";"";"";""
"7";"Chlorosulfonated Polyethylene";"";"potassium bromide";"saturated";"7758-02-03";"BrK";"salts";"1";"recommended";">10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"8";"Concrete";"";"potassium bromide";"";"7758-02-03";"BrK";"salts";"1";"recommended";"100";"60 – 70";"";"densified concrete";"1";"";"";"";"";"";"";"";"";"";"";""
"9";"Epoxy Cements";"";"potassium bromide";"";"7758-02-03";"BrK";"salts";"1";"recommended";"40";"68";"<6";"";"5";"";"";"";"";"";"";"";"";"";"";""
"10";"Epoxy Cements";"";"potassium bromide";"";"7758-02-03";"BrK";"salts";"1";"recommended";"40";"140";"";"";"5";"";"";"";"";"";"";"";"";"";"";""
