sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ammonium carbamate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"ammonium carbamate";"1111-78-0";"CH6N2O2";"bases";"";"100";"25 – 325";"<20";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"ammonium carbamate";"1111-78-0";"CH6N2O2";"bases";"";"100";"25 – 325";"<20";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"ammonium carbamate";"1111-78-0";"CH6N2O2";"bases";"";"100";"25 – 325";"<20";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Nickel (200)";"ammonium carbamate";"1111-78-0";"CH6N2O2";"bases";"severe corrosion with oxygen ingress";"100";"25 – 325";"<20";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Nickel-Copper (400)";"ammonium carbamate";"1111-78-0";"CH6N2O2";"bases";"severe corrosion with oxygen ingress";"";"0";"<2";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Silicon Cast Iron (14Si)";"ammonium carbamate";"1111-78-0";"CH6N2O2";"bases";"";"100";"52 – 327";"<2";"217,218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Silver";"ammonium carbamate";"1111-78-0";"CH6N2O2";"bases";"";"100";"25 – 325";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Steels, Carbon/ Low Alloy";"ammonium carbamate";"1111-78-0";"CH6N2O2";"bases";"";"100";"225 – 275";">50";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Tantalum";"ammonium carbamate";"1111-78-0";"CH6N2O2";"bases";"";"100";"25 – 225";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Titanium, Unalloyed";"ammonium carbamate";"1111-78-0";"CH6N2O2";"bases";"";"100";"25 – 225";"<2";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
