sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Phenol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"phenol";"hydroxybenzene";"108-95-2";"C6H6O";"phenols";"";"any";"360";"<2";"74,153,187,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"phenol";"hydroxybenzene";"108-95-2";"C6H6O";"phenols";"";"100";"106 – 475";"<2";"74,153,187,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-25-6Mo (254SMO/ 6XN)";"phenol";"hydroxybenzene";"108-95-2";"C6H6O";"phenols";"";"any";"360";"<2";"74,153,187";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"phenol";"hydroxybenzene";"108-95-2";"C6H6O";"phenols";"";"any";"360";"<2";"74,153,187,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"phenol";"hydroxybenzene";"108-95-2";"C6H6O";"phenols";"";"75 – 85";"149 – 225";"<20";"74,153,187,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"phenol";"hydroxybenzene";"108-95-2";"C6H6O";"phenols";"";">85";"149 – 275";"<2";"74,153,187,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"phenol";"hydroxybenzene";"108-95-2";"C6H6O";"phenols";"";"100";"106 – 475";"<2";"74,153,187,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Alloy 30-44-5-3W (G-30)";"phenol";"hydroxybenzene";"108-95-2";"C6H6O";"phenols";"";"any";"360";"<2";"74,153,187,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Alloy 30-44-5-3W (G-30)";"phenol";"hydroxybenzene";"108-95-2";"C6H6O";"phenols";"";"75 – 85";"149 – 225";"<20";"74,153,187,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Alloy 30-44-5-3W (G-30)";"phenol";"hydroxybenzene";"108-95-2";"C6H6O";"phenols";"";">85";"149 – 275";"<2";"74,153,187,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Alloy 30-44-5-3W (G-30)";"phenol";"hydroxybenzene";"108-95-2";"C6H6O";"phenols";"";"100";"106 – 475";"<2";"74,153,187,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Aluminum Alloy (3003/ 5154)";"phenol";"hydroxybenzene";"108-95-2";"C6H6O";"phenols";"possible hazard";"75 – 95";"25 – 100";"<2";"74,153,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Aluminum Alloy (3003/ 5154)";"phenol";"hydroxybenzene";"108-95-2";"C6H6O";"phenols";"possible hazard";"75 – 95";"100 – 106";">50";"74,153,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Aluminum Alloy (3003/ 5154)";"phenol";"hydroxybenzene";"108-95-2";"C6H6O";"phenols";"possible hazard";">75";"106 – 225";">50";"74,153,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Aluminum Alloy (3003/ 5154)";"phenol";"hydroxybenzene";"108-95-2";"C6H6O";"phenols";"hazardous!";"100";"106 – 375";">50";"74,153,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Aluminum Alloy (3003/ 5154)";"phenol";"hydroxybenzene";"108-95-2";"C6H6O";"phenols";"possible hazard";"100";"425 – 475";">50";"74,153,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
