sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Borax";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Chlorinated Polyvinyl Chloride (CPVC)";"";"borax";"";"surfactants & detergents";"1";"recommended";"100";"73";"";"1, 4";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Chlorinated Polyvinyl Chloride (CPVC)";"";"borax";"";"surfactants & detergents";"3";"not recommended";"100";"74 – 212";"";"1, 4";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Chlorosulfonated Polyethylene";"";"borax";"saturated";"surfactants & detergents";"1";"recommended";"10";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Epoxy Resin, Glass Fiber- Reinforced";"";"borax";"saturated";"surfactants & detergents";"1";"recommended";"10";"60 – 70";"";"1, 19";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Epoxy Resin, Glass Fiber- Reinforced";"";"borax";"";"surfactants & detergents";"1";"recommended";"100";"70 – 250";"";"1, 19";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"borax";"";"surfactants & detergents";"1";"recommended; does not wet";"5";"60 – 70";"";"1, 22";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Fluororubber";"";"borax";"saturated";"surfactants & detergents";"1";"recommended";"10";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Polychloroprene";"";"borax";"saturated";"surfactants & detergents";"1";"recommended";"10";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Polyesters, Glass Fiber-Reinforced";"";"borax";"";"surfactants & detergents";"1";"recommended";">10";"70 – 80";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Polyethylene (PE)";"";"borax";"saturated";"surfactants & detergents";"1";"recommended";"10";"60 – 150";"";"1, 21";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Polypropylene (PP)";"";"borax";"";"surfactants & detergents";"1";"recommended";"100";"60 – 212";"<6";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Polyvinyl Chloride (PVC)";"";"borax";"";"surfactants & detergents";"1";"recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Polyvinylidene Chloride (PVDC)";"Saran brand resin";"borax";"";"surfactants & detergents";"1";"recommended";"100";"150";"";"6";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Polyvinylidene Fluoride (PVDF)";"Kynar";"borax";"";"surfactants & detergents";"1";"recommended";"100";"70 – 285";"";"1, 17";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Rubber, Butyl (BR)";"";"borax";"saturated";"surfactants & detergents";"1";"recommended";"10";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Styrene Acrylonitrile Copolymer (SAN)";"";"borax";"saturated";"surfactants & detergents";"1";"recommended";"10";"70 – 125";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Styrene Acrylonitrile Copolymer (SAN)";"";"borax";"saturated";"surfactants & detergents";"1";"recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Vinyl Ester Resins";"";"borax";"";"surfactants & detergents";"1";"recommended";">10";"70 – 210";"";"7";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
