sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Dichloropropene";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"dichloropropene";"halogenated aliphatics";"";"100";"122 – 225";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 30-44-5-3W (G-30)";"dichloropropene";"halogenated aliphatics";"";"100";"122 – 225";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Aluminum Alloy (3003/ 5154)";"dichloropropene";"halogenated aliphatics";"hazardous!";"100";"122 – 225";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"dichloropropene";"halogenated aliphatics";"";"100";"122 – 225";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"dichloropropene";"halogenated aliphatics";"";"100";"122 – 225";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"dichloropropene";"halogenated aliphatics";"";"100";"275 – 325";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Brass (>15Zn)";"dichloropropene";"halogenated aliphatics";"";"100";"122 – 225";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Cast Iron, Gray/ Ductile";"dichloropropene";"halogenated aliphatics";"";"100";"122 – 225";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Copper/ Bronze/ Low Brass";"dichloropropene";"halogenated aliphatics";"";"100";"122 – 225";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Copper-Nickel";"dichloropropene";"halogenated aliphatics";"";"100";"122 – 225";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Cr Stainless Steel (12Cr)";"dichloropropene";"halogenated aliphatics";"";"100";"122 – 225";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Cr Stainless Steel (17Cr)";"dichloropropene";"halogenated aliphatics";"";"100";"122 – 225";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Gold/ Platinum";"dichloropropene";"halogenated aliphatics";"";"100";"122 – 225";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Lead";"dichloropropene";"halogenated aliphatics";"";"100";"122 – 225";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Nickel (200)";"dichloropropene";"halogenated aliphatics";"";"100";"122 – 225";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
