sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Chromium potassium sulfate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"chromium potassium sulfate";"salts";"5 – 15";"25 – 75";"<20";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"chromium potassium sulfate";"salts";"5 – 15";"25 – 75";"<20";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"chromium potassium sulfate";"salts";"5 – 15";"25 – 75";"<20";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"chromium potassium sulfate";"salts";"5 – 15";"25 – 75";">50";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"chromium potassium sulfate";"salts";"5 – 15";"25 – 75";"<20";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"chromium potassium sulfate";"salts";"5 – 15";"25 – 75";"<20";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Cast Iron, Gray/ Ductile";"chromium potassium sulfate";"salts";"15 – 25";"25 – 75";">50";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Copper/ Bronze/ Low Brass";"chromium potassium sulfate";"salts";"5 – 15";"25 – 225";"<20";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Cr Stainless Steel (12Cr)";"chromium potassium sulfate";"salts";"5 – 15";"25 – 75";">50";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Cr Stainless Steel (17Cr)";"chromium potassium sulfate";"salts";"5 – 15";"25 – 75";">50";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Gold/ Platinum";"chromium potassium sulfate";"salts";"5 – 25";"25 – 225";"<2";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Lead";"chromium potassium sulfate";"salts";"5 – 15";"25 – 225";"<20";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Nickel (200)";"chromium potassium sulfate";"salts";"5 – 15";"25 – 75";"<20";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Nickel-Copper (400)";"chromium potassium sulfate";"salts";"5 – 15";"25 – 225";"<20";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Ni-Cr-Fe Alloy (600/ 690)";"chromium potassium sulfate";"salts";"5 – 15";"25 – 75";"<20";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Ni-Mo Alloy (Ni-30Mo; B-2)";"chromium potassium sulfate";"salts";"5 – 15";"25 – 225";"<20";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Silicon Cast Iron (14Si)";"chromium potassium sulfate";"salts";"5 – 25";"52 – 237";"<20";"215,218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Steels, Carbon/ Low Alloy";"chromium potassium sulfate";"salts";"5 – 15";"25 – 75";">50";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Tantalum";"chromium potassium sulfate";"salts";"5 – 25";"25 – 225";"<2";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
