sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Trichloroethylene";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"trichloroethylene";"trichloroethene";"1979-01-06";"C2HCl3";"solvents";"";"100";"225 – 275";">50";"condensate - from 79.5-135°C (175-275°F) rate is >50 mpy";"108,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"trichloroethylene";"trichloroethene";"1979-01-06";"C2HCl3";"solvents";"";"100";"25 – 225";"<2";"";"108,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"trichloroethylene";"trichloroethene";"1979-01-06";"C2HCl3";"solvents";"";"100";"225 – 275";">50";"condensate - from 79.5-135°C (175-275°F) rate is >50 mpy";"108,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"trichloroethylene";"trichloroethene";"1979-01-06";"C2HCl3";"solvents";"";"100";"25 – 225";"<2";"";"108,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"trichloroethylene";"trichloroethene";"1979-01-06";"C2HCl3";"solvents";"";"100";"225 – 275";">50";"condensate - from 79.5-135°C (175-275°F) rate is >50 mpy";"108,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"trichloroethylene";"trichloroethene";"1979-01-06";"C2HCl3";"solvents";"";"100";"25 – 225";"<2";"";"108,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"trichloroethylene";"trichloroethene";"1979-01-06";"C2HCl3";"solvents";"";"100";"225 – 275";">50";"condensate - from 79.5-135°C (175-275°F) rate is >50 mpy";"108,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Nickel (200)";"trichloroethylene";"trichloroethene";"1979-01-06";"C2HCl3";"solvents";"";"100";"25 – 225";"<2";"";"108,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Nickel (200)";"trichloroethylene";"trichloroethene";"1979-01-06";"C2HCl3";"solvents";"";"100";"225 – 275";">50";"condensate - from 79.5-135°C (175-275°F) rate is >50 mpy";"108,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Nickel Cast Iron (15-35Ni)";"trichloroethylene";"trichloroethene";"1979-01-06";"C2HCl3";"solvents";"";"100";"25 – 175";"<20";"";"108,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Nickel-Copper (400)";"trichloroethylene";"trichloroethene";"1979-01-06";"C2HCl3";"solvents";"";"100";"25 – 225";"<2";"";"108,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Nickel-Copper (400)";"trichloroethylene";"trichloroethene";"1979-01-06";"C2HCl3";"solvents";"";"100";"225 – 275";">50";"condensate - from 79.5-135°C (175-275°F) rate is >50 mpy";"108,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Ni-Cr-Fe Alloy (600/ 690)";"trichloroethylene";"trichloroethene";"1979-01-06";"C2HCl3";"solvents";"";"100";"25 – 175";"<2";"";"108,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Ni-Cr-Fe Alloy (600/ 690)";"trichloroethylene";"trichloroethene";"1979-01-06";"C2HCl3";"solvents";"";"100";"175 – 225";"<20";"";"108,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Ni-Mo Alloy (Ni-30Mo; B-2)";"trichloroethylene";"trichloroethene";"1979-01-06";"C2HCl3";"solvents";"";"100";"25 – 225";"<2";"";"108,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Ni-Mo Alloy (Ni-30Mo; B-2)";"trichloroethylene";"trichloroethene";"1979-01-06";"C2HCl3";"solvents";"";"100";"225 – 275";"<20";"condensate - from 79.5-135°C (175-275°F) rate is ";"108,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Silicon Cast Iron (14Si)";"trichloroethylene";"trichloroethene";"1979-01-06";"C2HCl3";"solvents";"";"100";"52 – 237";"<2";"";"108,218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Steels, Carbon/ Low Alloy";"trichloroethylene";"trichloroethene";"1979-01-06";"C2HCl3";"solvents";"";"100";"25 – 175";"<2";"";"108,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Steels, Carbon/ Low Alloy";"trichloroethylene";"trichloroethene";"1979-01-06";"C2HCl3";"solvents";"";"100";"175 – 225";">50";"condensate - from 52-107°C (125-225°F) rate is >50 mpy";"108,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Steels, Carbon/ Low Alloy";"trichloroethylene";"trichloroethene";"1979-01-06";"C2HCl3";"solvents";"";"100";"225 – 275";"<20";"";"108,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Superferritic Stainless Steel (26-1)";"trichloroethylene";"trichloroethene";"1979-01-06";"C2HCl3";"solvents";"";"100";"25 – 225";"<2";"";"108,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Tantalum";"trichloroethylene";"trichloroethene";"1979-01-06";"C2HCl3";"solvents";"";"100";"175 – 225";"<20";"condensate";"108,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Titanium, Unalloyed";"trichloroethylene";"trichloroethene";"1979-01-06";"C2HCl3";"solvents";"";"100";"189";"<2";"boiling point";"108,204,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Titanium, Unalloyed";"trichloroethylene";"trichloroethene";"1979-01-06";"C2HCl3";"solvents";"";"100";"225 – 275";"<2";"";"108,204,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Zirconium";"trichloroethylene";"trichloroethene";"1979-01-06";"C2HCl3";"solvents";"";"100";"25 – 225";"<2";"";"108,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
