sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Acetic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"acetic acid";"ethanoic acid";"64-19-7";"C2H4O2";"organic (weak) acids";"";"100";"275 – 325";">50";"";"2,140,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"acetic acid";"ethanoic acid";"64-19-7";"C2H4O2";"organic (weak) acids";"";"5 – 45";"75 – 225";"<2";"";"2,140,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"acetic acid";"ethanoic acid";"64-19-7";"C2H4O2";"organic (weak) acids";"";">5";"25 – 75";"<2";"";"2,140,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"acetic acid";"ethanoic acid";"64-19-7";"C2H4O2";"organic (weak) acids";"";"25 – 35";"225 – 325";"<20";"";"2,140,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"acetic acid";"ethanoic acid";"64-19-7";"C2H4O2";"organic (weak) acids";"";"25 – 35";"325 – 425";">50";"";"2,140,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"acetic acid";"ethanoic acid";"64-19-7";"C2H4O2";"organic (weak) acids";"";"35 – 45";"375 – 425";">50";"";"2,140,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"acetic acid";"ethanoic acid";"64-19-7";"C2H4O2";"organic (weak) acids";"";"45 – 55";"175 – 225";"<20";"";"2,140,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"acetic acid";"ethanoic acid";"64-19-7";"C2H4O2";"organic (weak) acids";"";">45";"75 – 175";"<20";"";"2,140,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"acetic acid";"ethanoic acid";"64-19-7";"C2H4O2";"organic (weak) acids";"";">55";"175 – 225";"20 – 50";"";"2,140,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Brass (>15Zn)";"acetic acid";"ethanoic acid";"64-19-7";"C2H4O2";"organic (weak) acids";"severe corrosion with oxygen ingress";">5";"25 – 75";">50";"";"2,140,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
