sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Morpholine";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"morpholine";"tetrahydro-1,4-oxazine";"110-91-8";"C4H9NO";"heterocyclic organics";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"morpholine";"tetrahydro-1,4-oxazine";"110-91-8";"C4H9NO";"heterocyclic organics";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"morpholine";"tetrahydro-1,4-oxazine";"110-91-8";"C4H9NO";"heterocyclic organics";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"morpholine";"tetrahydro-1,4-oxazine";"110-91-8";"C4H9NO";"heterocyclic organics";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"morpholine";"tetrahydro-1,4-oxazine";"110-91-8";"C4H9NO";"heterocyclic organics";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"morpholine";"tetrahydro-1,4-oxazine";"110-91-8";"C4H9NO";"heterocyclic organics";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Brass (>15Zn)";"morpholine";"tetrahydro-1,4-oxazine";"110-91-8";"C4H9NO";"heterocyclic organics";"severe corrosion with oxygen ingress";"100";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Cast Iron, Gray/ Ductile";"morpholine";"tetrahydro-1,4-oxazine";"110-91-8";"C4H9NO";"heterocyclic organics";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Copper/ Bronze/ Low Brass";"morpholine";"tetrahydro-1,4-oxazine";"110-91-8";"C4H9NO";"heterocyclic organics";"severe corrosion with oxygen ingress";"100";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Copper-Nickel";"morpholine";"tetrahydro-1,4-oxazine";"110-91-8";"C4H9NO";"heterocyclic organics";"severe corrosion with oxygen ingress";"";"0";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
