sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ethyl alcohol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"ethyl alcohol";"ethanol";"64-17-5";"C2H6O";"alcohols";"";">1";"0 – 225";"<2";"";"173,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-6Mo (254SMO/ 6XN)";"ethyl alcohol";"ethanol";"64-17-5";"C2H6O";"alcohols";"";">1";"0 – 212";"<2";"";"173,208";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"ethyl alcohol";"ethanol";"64-17-5";"C2H6O";"alcohols";"";">1";"0 – 225";"<2";"";"173,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 30-44-5-3W (G-30)";"ethyl alcohol";"ethanol";"64-17-5";"C2H6O";"alcohols";"";">1";"0 – 225";"<2";"";"173,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Aluminum Alloy (3003/ 5154)";"ethyl alcohol";"ethanol";"64-17-5";"C2H6O";"alcohols";"hazardous!";">5";"25 – 225";"<2";"";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"ethyl alcohol";"ethanol";"64-17-5";"C2H6O";"alcohols";"";">5";"25 – 225";"<2";"";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"ethyl alcohol";"ethanol";"64-17-5";"C2H6O";"alcohols";"";">5";"25 – 225";"<2";"";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Brass (>15Zn)";"ethyl alcohol";"ethanol";"64-17-5";"C2H6O";"alcohols";"";">5";"25 – 225";"<2";"";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Cast Iron, Gray/ Ductile";"ethyl alcohol";"ethanol";"64-17-5";"C2H6O";"alcohols";"";">5";"25 – 225";"<2";"";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Copper/ Bronze/ Low Brass";"ethyl alcohol";"ethanol";"64-17-5";"C2H6O";"alcohols";"";">5";"25 – 225";"<2";"";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Copper-Nickel";"ethyl alcohol";"ethanol";"64-17-5";"C2H6O";"alcohols";"";"5 – 95";"25 – 225";"<2";"";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Cr Stainless Steel (12Cr)";"ethyl alcohol";"ethanol";"64-17-5";"C2H6O";"alcohols";"";">5";"25 – 225";"<2";"";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Cr Stainless Steel (17Cr)";"ethyl alcohol";"ethanol";"64-17-5";"C2H6O";"alcohols";"";">5";"25 – 225";"<2";"";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Duplex Stainless Steel (25-6-3)";"ethyl alcohol";"ethanol";"64-17-5";"C2H6O";"alcohols";"";">1";"0 – 212";"<2";"";"173,208";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Gold/ Platinum";"ethyl alcohol";"ethanol";"64-17-5";"C2H6O";"alcohols";"";">5";"25 – 225";"<2";"";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Lead";"ethyl alcohol";"ethanol";"64-17-5";"C2H6O";"alcohols";"";">5";"25 – 225";"<2";"";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"ethyl alcohol";"ethanol";"64-17-5";"C2H6O";"alcohols";"";">5";"25 – 225";"<2";"";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"ethyl alcohol";"ethanol";"64-17-5";"C2H6O";"alcohols";"";">5";"25 – 225";"<2";"";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"ethyl alcohol";"ethanol";"64-17-5";"C2H6O";"alcohols";"";">5";"25 – 225";"<2";"";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"ethyl alcohol";"ethanol";"64-17-5";"C2H6O";"alcohols";"";">5";"25 – 225";"<2";"";"208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
