sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Phthalic anhydride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"phthalic anhydride";"85-44-9";"C8H4O3";"anhydrides";"1";"recommended";"100";"60 – 165";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"phthalic anhydride";"85-44-9";"C8H4O3";"anhydrides";"1";"recommended";"100";"250";"<6";"16";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"phthalic anhydride";"85-44-9";"C8H4O3";"anhydrides";"1";"recommended";"100";"250";"<6";"16";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"phthalic anhydride";"85-44-9";"C8H4O3";"anhydrides";"1";"recommended; over 3 years";">10";"75 – 212";">12";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"phthalic anhydride";"85-44-9";"C8H4O3";"anhydrides";"1";"recommended";"100";"70 – 250";">12";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Polyesters, Glass Fiber-Reinforced";"";"phthalic anhydride";"85-44-9";"C8H4O3";"anhydrides";"1";"recommended";"10";"70 – 200";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Polyesters, Glass Fiber-Reinforced";"";"phthalic anhydride";"85-44-9";"C8H4O3";"anhydrides";"1";"recommended";"100";"70 – 250";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Polyethylene (PE)";"";"phthalic anhydride";"85-44-9";"C8H4O3";"anhydrides";"1";"recommended";"100";"70 – 150";"";"1, 21";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
