sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Chromic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Chlorosulfonated Polyethylene";"";"chromic acid";"inorganic acids";"1";"recommended";"10 – 50";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Concrete";"";"chromic acid";"inorganic acids";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Epoxy Cements";"";"chromic acid";"inorganic acids";"3";"not recommended";"10";"68";"<6";"";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Epoxy Cements";"";"chromic acid";"inorganic acids";"3";"not recommended";"10";"140";"";"";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Epoxy Cements";"";"chromic acid";"inorganic acids";"3";"not recommended";"20";"68";"";"";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Epoxy Cements";"";"chromic acid";"inorganic acids";"3";"not recommended";"20";"140";"";"";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Epoxy Cements";"";"chromic acid";"inorganic acids";"3";"not recommended";"30";"68";"";"";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Epoxy Cements";"";"chromic acid";"inorganic acids";"3";"not recommended";"30";"140";"";"";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"chromic acid";"inorganic acids";"3";"not recommended";"any";"0 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Epoxy Resin, Glass Fiber- Reinforced";"";"chromic acid";"inorganic acids";"3";"not recommended";"10 – 40";"70 – 150";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"";"chromic acid";"inorganic acids";"1";"recommended; weight gain; strength loss";"100";"32 – 200";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"";"chromic acid";"inorganic acids";"3";"not recommended; steady state reached in one week exposure";"100";"200 – 230";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"";"chromic acid";"inorganic acids";"3";"not recommended";"100";"230 – 257";"";"boiling point 125°C (257°F)";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"chromic acid";"inorganic acids";"1";"recommended; discolored ";"10 – 90";"70 – 212";"";"";"1, 22";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"chromic acid";"inorganic acids";"1";"recommended; immersed, cyclic immersion, 21-66°C (70-150°F)";"30";"100 – 115";"";"";"1, 22";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Fluororubber";"";"chromic acid";"inorganic acids";"1";"recommended";"10 – 50";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Fluororubber";"";"chromic acid";"inorganic acids";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"chromic acid";"inorganic acids";"1";"recommended";"<2";"70 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"chromic acid";"inorganic acids";"1";"recommended";"20";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"chromic acid";"inorganic acids";"3";"not recommended";"20";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Glass, Chemical";"";"chromic acid";"inorganic acids";"1";"recommended";"100";"70 – 212";"";"also with sulfuric acid";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Nylon";"";"chromic acid";"inorganic acids";"2";"questionable";"10";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Nylon";"";"chromic acid";"inorganic acids";"3";"not recommended";"10 – 70";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Perfluoroalkoxy Resins";"";"chromic acid";"inorganic acids";"1";"recommended; steady state reached in one week exposure";"50";"70 – 250";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
