sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Hexachloroethane";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"hexachloroethane";"perchloroethane";"67-72-1";"C2Cl6";"halogenated aliphatics";"";"";"100";"25 – 225";"<2";"";"210,219";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 30-44-5-3W (G-30)";"hexachloroethane";"perchloroethane";"67-72-1";"C2Cl6";"halogenated aliphatics";"";"";"100";"25 – 225";"<2";"";"210,219";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Aluminum Alloy (3003/ 5154)";"hexachloroethane";"perchloroethane";"67-72-1";"C2Cl6";"halogenated aliphatics";"hazardous!";"";"100";"25 – 75";"<2";"";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"hexachloroethane";"perchloroethane";"67-72-1";"C2Cl6";"halogenated aliphatics";"possible hazard";"";"100";"175 – 225";">50";"";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Aluminum Alloy (3003/ 5154)";"hexachloroethane";"perchloroethane";"67-72-1";"C2Cl6";"halogenated aliphatics";"possible hazard";"";"100";"325 – 375";">50";"";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"hexachloroethane";"perchloroethane";"67-72-1";"C2Cl6";"halogenated aliphatics";"";"pitting; stress corrosion cracking";"100";"25 – 500";"<20";"";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"hexachloroethane";"perchloroethane";"67-72-1";"C2Cl6";"halogenated aliphatics";"";"pitting; stress corrosion cracking";"100";"25 – 500";"<20";"";"210,219";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Brass (>15Zn)";"hexachloroethane";"perchloroethane";"67-72-1";"C2Cl6";"halogenated aliphatics";"";"";"100";"25 – 225";"<2";"";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Cast Iron, Gray/ Ductile";"hexachloroethane";"perchloroethane";"67-72-1";"C2Cl6";"halogenated aliphatics";"";"";"100";"25 – 375";"<2";"";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Copper/ Bronze/ Low Brass";"hexachloroethane";"perchloroethane";"67-72-1";"C2Cl6";"halogenated aliphatics";"";"";"100";"25 – 225";"<2";"";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Cr Stainless Steel (12Cr)";"hexachloroethane";"perchloroethane";"67-72-1";"C2Cl6";"halogenated aliphatics";"";"pitting";"100";"25 – 500";"<20";"";"210,219";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Cr Stainless Steel (17Cr)";"hexachloroethane";"perchloroethane";"67-72-1";"C2Cl6";"halogenated aliphatics";"";"pitting";"100";"25 – 500";"<20";"";"210,219";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Gold/ Platinum";"hexachloroethane";"perchloroethane";"67-72-1";"C2Cl6";"halogenated aliphatics";"";"";"100";"25 – 225";"<2";"";"210,219";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Lead";"hexachloroethane";"perchloroethane";"67-72-1";"C2Cl6";"halogenated aliphatics";"";"";"100";"25 – 375";"<2";"";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"hexachloroethane";"perchloroethane";"67-72-1";"C2Cl6";"halogenated aliphatics";"";"";"100";"25 – 225";"<2";"";"210,219";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"hexachloroethane";"perchloroethane";"67-72-1";"C2Cl6";"halogenated aliphatics";"";"";"100";"25 – 225";"<2";"";"210,219";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"hexachloroethane";"perchloroethane";"67-72-1";"C2Cl6";"halogenated aliphatics";"";"";"100";"25 – 225";"<2";"";"210,219";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"hexachloroethane";"perchloroethane";"67-72-1";"C2Cl6";"halogenated aliphatics";"";"";"100";"25 – 225";"<2";"";"210,219";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"hexachloroethane";"perchloroethane";"67-72-1";"C2Cl6";"halogenated aliphatics";"";"";"100";"25 – 225";"<2";"";"210,219";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Nickel (200)";"hexachloroethane";"perchloroethane";"67-72-1";"C2Cl6";"halogenated aliphatics";"";"";"100";"25 – 225";"<2";"";"210,219";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Nickel Cast Iron (15-35Ni)";"hexachloroethane";"perchloroethane";"67-72-1";"C2Cl6";"halogenated aliphatics";"";"";"100";"25 – 325";"<2";"";"210,219";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Nickel-Copper (400)";"hexachloroethane";"perchloroethane";"67-72-1";"C2Cl6";"halogenated aliphatics";"";"";"100";"25 – 225";"<2";"";"210,219";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Ni-Cr-Fe Alloy (600/ 690)";"hexachloroethane";"perchloroethane";"67-72-1";"C2Cl6";"halogenated aliphatics";"";"";"100";"25 – 225";"<2";"";"210,219";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Ni-Mo Alloy (Ni-30Mo; B-2)";"hexachloroethane";"perchloroethane";"67-72-1";"C2Cl6";"halogenated aliphatics";"";"";"100";"25 – 225";"<2";"";"210,219";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Silicon Cast Iron (14Si)";"hexachloroethane";"perchloroethane";"67-72-1";"C2Cl6";"halogenated aliphatics";"";"";"100";"52 – 370";"<2";"moist";"210,218,220";"";"";"";"";"";"";"";"";"";"";"";""
