sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Chloral";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Aluminum Alloy (3003/ 5154)";"chloral";"trichloroacetaldehyde";"75-87-6";"C2HCl3O";"aldehydes";"hazardous!";">85";"125 – 175";">50";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"chloral";"trichloroacetaldehyde";"75-87-6";"C2HCl3O";"aldehydes";"";"100";"25 – 75";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"chloral";"trichloroacetaldehyde";"75-87-6";"C2HCl3O";"aldehydes";"";"100";"175 – 225";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Cast Iron, Gray/ Ductile";"chloral";"trichloroacetaldehyde";"75-87-6";"C2HCl3O";"aldehydes";"";"100";"25 – 225";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Nickel (200)";"chloral";"trichloroacetaldehyde";"75-87-6";"C2HCl3O";"aldehydes";"";"100";"175 – 225";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Nickel Cast Iron (15-35Ni)";"chloral";"trichloroacetaldehyde";"75-87-6";"C2HCl3O";"aldehydes";"";"100";"25 – 225";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Nickel-Copper (400)";"chloral";"trichloroacetaldehyde";"75-87-6";"C2HCl3O";"aldehydes";"";"100";"175 – 225";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Ni-Mo Alloy (Ni-30Mo; B-2)";"chloral";"trichloroacetaldehyde";"75-87-6";"C2HCl3O";"aldehydes";"";"100";"25 – 225";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Silver";"chloral";"trichloroacetaldehyde";"75-87-6";"C2HCl3O";"aldehydes";"";"100";"25 – 225";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Steels, Carbon/ Low Alloy";"chloral";"trichloroacetaldehyde";"75-87-6";"C2HCl3O";"aldehydes";"";"100";"25 – 225";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
