sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Chlorosulfonic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"chlorosulfonic acid";"chlorosulfuric acid";"7790-94-5";"ClHO3S";"inorganic acids";"";"100";"80 – 125";"<20";"37,207,210,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Brass (>15Zn)";"chlorosulfonic acid";"chlorosulfuric acid";"7790-94-5";"ClHO3S";"inorganic acids";"";"5 – 15";"25 – 75";">50";"37,207,210,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Brass (>15Zn)";"chlorosulfonic acid";"chlorosulfuric acid";"7790-94-5";"ClHO3S";"inorganic acids";"";"85 – 95";"25 – 75";">50";"37,207,210,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Cast Iron, Gray/ Ductile";"chlorosulfonic acid";"chlorosulfuric acid";"7790-94-5";"ClHO3S";"inorganic acids";"";"5 – 15";"25 – 75";">50";"37,207,210,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Cast Iron, Gray/ Ductile";"chlorosulfonic acid";"chlorosulfuric acid";"7790-94-5";"ClHO3S";"inorganic acids";"";"85 – 95";"25 – 75";">50";"37,207,210,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Cast Iron, Gray/ Ductile";"chlorosulfonic acid";"chlorosulfuric acid";"7790-94-5";"ClHO3S";"inorganic acids";"";"100";"25 – 225";"<20";"37,207,210,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Cast Iron, Gray/ Ductile";"chlorosulfonic acid";"chlorosulfuric acid";"7790-94-5";"ClHO3S";"inorganic acids";"";"100";"275 – 325";">50";"37,207,210,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Copper/ Bronze/ Low Brass";"chlorosulfonic acid";"chlorosulfuric acid";"7790-94-5";"ClHO3S";"inorganic acids";"";"5 – 15";"25 – 75";">50";"37,207,210,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Copper/ Bronze/ Low Brass";"chlorosulfonic acid";"chlorosulfuric acid";"7790-94-5";"ClHO3S";"inorganic acids";"";"85 – 95";"25 – 75";">50";"37,207,210,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Copper/ Bronze/ Low Brass";"chlorosulfonic acid";"chlorosulfuric acid";"7790-94-5";"ClHO3S";"inorganic acids";"";"100";"25 – 325";"20 – 50";"37,207,210,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
