sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ethylene dibromide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"ethylene dibromide";"1,2-dibromoethane";"106-93-4";"C2H4Br2";"solvents";"3";"not recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Carbon-Graphite Composites";"ethylene dibromide";"1,2-dibromoethane";"106-93-4";"C2H4Br2";"solvents";"1";"recommended";"100";"70 – 200";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Chlorinated Polyvinyl Chloride (CPVC)";"ethylene dibromide";"1,2-dibromoethane";"106-93-4";"C2H4Br2";"solvents";"3";"not recommended";"100";"70 – 212";"";"1, 20";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Concrete";"ethylene dibromide";"1,2-dibromoethane";"106-93-4";"C2H4Br2";"solvents";"3";"not recommended";"100";"60 – 70";"permeable";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"ethylene dibromide";"1,2-dibromoethane";"106-93-4";"C2H4Br2";"solvents";"1";"recommended";"100";"70 – 90";"immersed, cyclic immersion";"1, 22";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"ethylene dibromide";"1,2-dibromoethane";"106-93-4";"C2H4Br2";"solvents";"1";"recommended";"100";"90 – 195";"";"1, 22";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"ethylene dibromide";"1,2-dibromoethane";"106-93-4";"C2H4Br2";"solvents";"1";"recommended; weight gain ";"100";"195 – 212";"";"1, 22";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Fluororubber";"ethylene dibromide";"1,2-dibromoethane";"106-93-4";"C2H4Br2";"solvents";"3";"not recommended";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Glass, Chemical";"ethylene dibromide";"1,2-dibromoethane";"106-93-4";"C2H4Br2";"solvents";"1";"recommended";"100";"70 – 250";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Polyethylene (PE)";"ethylene dibromide";"1,2-dibromoethane";"106-93-4";"C2H4Br2";"solvents";"3";"not recommended";"100";"60 – 70";"plasticizer";"1, 8";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Polymethyl Methacrylate (PMMA)";"ethylene dibromide";"1,2-dibromoethane";"106-93-4";"C2H4Br2";"solvents";"3";"not recommended";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Polyvinyl Chloride (PVC)";"ethylene dibromide";"1,2-dibromoethane";"106-93-4";"C2H4Br2";"solvents";"3";"not recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Polyvinylidene Fluoride (PVDF)";"ethylene dibromide";"1,2-dibromoethane";"106-93-4";"C2H4Br2";"solvents";"1";"recommended";"100";"70 – 275";"";"1, 23";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Wood";"ethylene dibromide";"1,2-dibromoethane";"106-93-4";"C2H4Br2";"solvents";"3";"not recommended";"100";"60 – 70";"permeable";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
