sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Formic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";""
"77";"Polyvinylidene Fluoride (PVDF)";"";"formic acid";"methanoic acid";"";"64-18-6";"CH2O2";"organic (weak) acids";"1";"recommended";"100";"70 – 250";"";"";"1, 23";"";"";"";"";"";"";"";"";"";""
"78";"Rubber, Butyl (BR)";"";"formic acid";"methanoic acid";"";"64-18-6";"CH2O2";"organic (weak) acids";"1";"recommended";"10 – 50";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";""
"79";"Rubber, Butyl (BR)";"";"formic acid";"methanoic acid";"";"64-18-6";"CH2O2";"organic (weak) acids";"1";"recommended";"50";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"80";"Rubber, Butyl (BR)";"";"formic acid";"methanoic acid";"";"64-18-6";"CH2O2";"organic (weak) acids";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"81";"Rubber, Natural (NR)";"";"formic acid";"methanoic acid";"";"64-18-6";"CH2O2";"organic (weak) acids";"1";"recommended";"10 – 50";"70 – 100";"";"";"1";"";"";"";"";"";"";"";"";"";""
"82";"Rubber, Natural (NR)";"";"formic acid";"methanoic acid";"";"64-18-6";"CH2O2";"organic (weak) acids";"1";"recommended";"50";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"83";"Rubber, Natural (NR)";"";"formic acid";"methanoic acid";"";"64-18-6";"CH2O2";"organic (weak) acids";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"84";"Vinyl Ester Resins";"";"formic acid";"methanoic acid";"";"64-18-6";"CH2O2";"organic (weak) acids";"1";"recommended";"9";"70 – 100";"";"";"7";"";"";"";"";"";"";"";"";"";""
"85";"Vinyl Ester Resins";"";"formic acid";"methanoic acid";"";"64-18-6";"CH2O2";"organic (weak) acids";"1";"recommended";"10";"80 – 165";"";"";"7";"";"";"";"";"";"";"";"";"";""
"86";"Vinyl Ester Resins";"";"formic acid";"methanoic acid";"vapor";"64-18-6";"CH2O2";"organic (weak) acids";"1";"recommended";"10";"165 – 180";"";"";"7";"";"";"";"";"";"";"";"";"";""
"87";"Wood";"";"formic acid";"methanoic acid";"";"64-18-6";"CH2O2";"organic (weak) acids";"1";"recommended";"10 – 40";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
