sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Aluminum chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"aluminum chloride";"aluminum trichloride";"";"7446-70-0";"AlCl3";"salts";"1";"recommended";"10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"2";"Acetal Resins (Polyoxymethylene)";"";"aluminum chloride";"aluminum trichloride";"";"7446-70-0";"AlCl3";"salts";"2";"questionable";">70";"70 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";""
"3";"Acetal Resins (Polyoxymethylene)";"";"aluminum chloride";"aluminum trichloride";"";"7446-70-0";"AlCl3";"salts";"3";"not recommended";">70";"175 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"4";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"aluminum chloride";"aluminum trichloride";"";"7446-70-0";"AlCl3";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"5";"Bisphenol A Fumarate Unsaturated Polyester";"fiberglass reinforced polyester (FRP)";"aluminum chloride";"aluminum trichloride";"";"7446-70-0";"AlCl3";"salts";"1";"recommended";">10";"75 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"6";"Carbon-Graphite Composites";"";"aluminum chloride";"aluminum trichloride";"";"7446-70-0";"AlCl3";"salts";"1";"recommended";"10 – 90";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"7";"Cellulose Acetate";"";"aluminum chloride";"aluminum trichloride";"";"7446-70-0";"AlCl3";"salts";"3";"not recommended; weight gain";"10";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";""
"8";"Cellulose Acetate";"";"aluminum chloride";"aluminum trichloride";"";"7446-70-0";"AlCl3";"salts";"1";"recommended";"70";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"9";"Cellulose Acetate Butyrate";"";"aluminum chloride";"aluminum trichloride";"";"7446-70-0";"AlCl3";"salts";"2";"questionable; weight gain";"10";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";""
"10";"Cellulose Acetate Butyrate";"";"aluminum chloride";"aluminum trichloride";"saturated";"7446-70-0";"AlCl3";"salts";"1";"recommended";"70";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
