sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Trichlorofluoromethane";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Carbon-Graphite Composites";"trichlorofluoromethane";"refrigerant 11";"";"75-69-4";"CCl3F";"chlorofluorocarbons";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Cellulose Acetate";"trichlorofluoromethane";"refrigerant 11";"";"75-69-4";"CCl3F";"chlorofluorocarbons";"3";"not recommended; swollen";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Cellulose Acetate Butyrate";"trichlorofluoromethane";"refrigerant 11";"";"75-69-4";"CCl3F";"chlorofluorocarbons";"2";"questionable; swollen";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"trichlorofluoromethane";"refrigerant 11";"";"75-69-4";"CCl3F";"chlorofluorocarbons";"1";"recommended";"100";"70 – 90";"";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";"";""
"5";"Polyesters, Glass Fiber-Reinforced";"trichlorofluoromethane";"refrigerant 11";"";"75-69-4";"CCl3F";"chlorofluorocarbons";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"6";"Polyvinyl Chloride (PVC)";"trichlorofluoromethane";"refrigerant 11";"gas";"75-69-4";"CCl3F";"chlorofluorocarbons";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"7";"Styrene Acrylonitrile Copolymer (SAN)";"trichlorofluoromethane";"refrigerant 11";"gas";"75-69-4";"CCl3F";"chlorofluorocarbons";"1";"recommended; weathering adversely affected";"100";"50 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"8";"Vinyl Ester Resins";"trichlorofluoromethane";"refrigerant 11";"";"75-69-4";"CCl3F";"chlorofluorocarbons";"1";"recommended";"100";"70 – 100";"";"";"7";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
