sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Nitrosyl chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Aluminum Alloy (3003/ 5154)";"nitrosyl chloride";"2696-92-6";"ClNO";"gases";"";"5 – 15";"25 – 75";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Aluminum Alloy (3003/ 5154)";"nitrosyl chloride";"2696-92-6";"ClNO";"gases";"";"15 – 55";"25 – 75";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Aluminum Alloy (3003/ 5154)";"nitrosyl chloride";"2696-92-6";"ClNO";"gases";"";"45 – 55";"75 – 125";"20 – 50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"nitrosyl chloride";"2696-92-6";"ClNO";"gases";"";"45 – 55";"125 – 175";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Aluminum Alloy (3003/ 5154)";"nitrosyl chloride";"2696-92-6";"ClNO";"gases";"";"55 – 65";"25 – 75";"20 – 50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Aluminum Alloy (3003/ 5154)";"nitrosyl chloride";"2696-92-6";"ClNO";"gases";"";"75 – 95";"125 – 175";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Aluminum Alloy (3003/ 5154)";"nitrosyl chloride";"2696-92-6";"ClNO";"gases";"";">75";"25 – 75";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Aluminum Alloy (3003/ 5154)";"nitrosyl chloride";"2696-92-6";"ClNO";"gases";"";">75";"75 – 125";"20 – 50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"nitrosyl chloride";"2696-92-6";"ClNO";"gases";"";"85 – 95";"25 – 75";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Brass (>15Zn)";"nitrosyl chloride";"2696-92-6";"ClNO";"gases";"";"85 – 95";"25 – 75";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Cast Iron, Gray/ Ductile";"nitrosyl chloride";"2696-92-6";"ClNO";"gases";"";"85 – 95";"25 – 75";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Copper/ Bronze/ Low Brass";"nitrosyl chloride";"2696-92-6";"ClNO";"gases";"";"85 – 95";"25 – 75";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Copper-Nickel";"nitrosyl chloride";"2696-92-6";"ClNO";"gases";"";"85 – 95";"25 – 75";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Cr Stainless Steel (12Cr)";"nitrosyl chloride";"2696-92-6";"ClNO";"gases";"";"85 – 95";"25 – 75";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Gold/ Platinum";"nitrosyl chloride";"2696-92-6";"ClNO";"gases";"";"5 – 65";"225 – 425";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Gold/ Platinum";"nitrosyl chloride";"2696-92-6";"ClNO";"gases";"";">5";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Lead";"nitrosyl chloride";"2696-92-6";"ClNO";"gases";"";"5 – 15";"25 – 75";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"nitrosyl chloride";"2696-92-6";"ClNO";"gases";"";"5 – 15";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"nitrosyl chloride";"2696-92-6";"ClNO";"gases";"";"5 – 45";"25 – 125";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"nitrosyl chloride";"2696-92-6";"ClNO";"gases";"";"35 – 45";"175 – 225";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"nitrosyl chloride";"2696-92-6";"ClNO";"gases";"";">45";"125 – 175";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"nitrosyl chloride";"2696-92-6";"ClNO";"gases";"";"55 – 65";"75 – 125";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"nitrosyl chloride";"2696-92-6";"ClNO";"gases";"";"55 – 65";"125 – 225";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"nitrosyl chloride";"2696-92-6";"ClNO";"gases";"";"5 – 15";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"nitrosyl chloride";"2696-92-6";"ClNO";"gases";"";"5 – 45";"25 – 125";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"nitrosyl chloride";"2696-92-6";"ClNO";"gases";"";"35 – 45";"175 – 225";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"nitrosyl chloride";"2696-92-6";"ClNO";"gases";"";">45";"125 – 175";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"nitrosyl chloride";"2696-92-6";"ClNO";"gases";"";"55 – 65";"75 – 125";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"nitrosyl chloride";"2696-92-6";"ClNO";"gases";"";"55 – 65";"125 – 225";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
