sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Acetone";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"acetone";"2-propanone";"67-64-1";"C3H6O";"ketones";"1";"recommended";"10";"70 – 150";"";"traces";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Acetal Resins (Polyoxymethylene)";"";"acetone";"2-propanone";"67-64-1";"C3H6O";"ketones";"3";"not recommended; strength loss ";"100";"70 – 135";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Acetal Resins (Polyoxymethylene)";"";"acetone";"2-propanone";"67-64-1";"C3H6O";"ketones";"3";"not recommended; strength loss >12 months";"100";"135 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"acetone";"2-propanone";"67-64-1";"C3H6O";"ketones";"2";"questionable";"10";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"5";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"acetone";"2-propanone";"67-64-1";"C3H6O";"ketones";"3";"not recommended";"50";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"6";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"acetone";"2-propanone";"67-64-1";"C3H6O";"ketones";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"7";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"acetone";"2-propanone";"67-64-1";"C3H6O";"ketones";"3";"not recommended; may dissolve ";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"8";"Carbon-Graphite Composites";"";"acetone";"2-propanone";"67-64-1";"C3H6O";"ketones";"1";"recommended";"10 – 90";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"9";"Carbon-Graphite Composites";"";"acetone";"2-propanone";"67-64-1";"C3H6O";"ketones";"1";"recommended";"100";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"10";"Cellulose Acetate";"";"acetone";"2-propanone";"67-64-1";"C3H6O";"ketones";"3";"not recommended; disintegrated";"any";"0 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"11";"Cellulose Acetate Butyrate";"";"acetone";"2-propanone";"67-64-1";"C3H6O";"ketones";"3";"not recommended; disintegrated";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
