sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Amyl acetate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"amyl acetate";"pentyl acetate";"628-63-7";"C7H14O2";"esters";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"amyl acetate";"pentyl acetate";"628-63-7";"C7H14O2";"esters";"3";"not recommended; softened, swollen";"100";"60 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Cellulose Acetate";"";"amyl acetate";"pentyl acetate";"628-63-7";"C7H14O2";"esters";"3";"not recommended; discolored, weight gain";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Cellulose Acetate Butyrate";"";"amyl acetate";"pentyl acetate";"628-63-7";"C7H14O2";"esters";"3";"not recommended; disintegrated";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"5";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"amyl acetate";"pentyl acetate";"628-63-7";"C7H14O2";"esters";"1";"recommended";"100";"75";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"6";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"amyl acetate";"pentyl acetate";"628-63-7";"C7H14O2";"esters";"1";"recommended";"100";"75";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"7";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"";"amyl acetate";"pentyl acetate";"628-63-7";"C7H14O2";"esters";"3";"not recommended";"100";"200";"";"";"16";"";"";"";"";"";"";"";"";"";"";""
"8";"Chlorinated Polyvinyl Chloride (CPVC)";"";"amyl acetate";"pentyl acetate";"628-63-7";"C7H14O2";"esters";"3";"not recommended";"100";"70 – 212";"";"";"1, 20";"";"";"";"";"";"";"";"";"";"";""
"9";"Chlorosulfonated Polyethylene";"";"amyl acetate";"pentyl acetate";"628-63-7";"C7H14O2";"esters";"3";"not recommended";"any";"0 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"10";"Concrete";"";"amyl acetate";"pentyl acetate";"628-63-7";"C7H14O2";"esters";"1";"recommended";"100";"60 – 70";"";"brief exposure";"1";"";"";"";"";"";"";"";"";"";"";""
