sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ethylene glycol monomethyl ether";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Cellulose Acetate Butyrate";"ethylene glycol monomethyl ether";"2-methoxyethanol";"109-86-4";"C3H8O2";"ethers";"3";"not recommended; disintegrated; also acetate";"100";"60 – 70";"<1";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Polyethylene (PE)";"ethylene glycol monomethyl ether";"2-methoxyethanol";"109-86-4";"C3H8O2";"ethers";"1";"recommended";"100";"75 – 120";"";"1, 21";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Styrene Acrylonitrile Copolymer (SAN)";"ethylene glycol monomethyl ether";"2-methoxyethanol";"109-86-4";"C3H8O2";"ethers";"3";"not recommended";"100";"70 – 125";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
