sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Dichloroethyl ether";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"dichloroethyl ether";"bis(2-chloroethyl) ether";"111-44-4";"C4H8Cl2O";"ethers";"";"100";"25 – 125";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 30-44-5-3W (G-30)";"dichloroethyl ether";"bis(2-chloroethyl) ether";"111-44-4";"C4H8Cl2O";"ethers";"";"100";"25 – 125";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Aluminum Alloy (3003/ 5154)";"dichloroethyl ether";"bis(2-chloroethyl) ether";"111-44-4";"C4H8Cl2O";"ethers";"possible hazard";"";"0";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"dichloroethyl ether";"bis(2-chloroethyl) ether";"111-44-4";"C4H8Cl2O";"ethers";"";"100";"25 – 125";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"dichloroethyl ether";"bis(2-chloroethyl) ether";"111-44-4";"C4H8Cl2O";"ethers";"";"100";"25 – 125";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Brass (>15Zn)";"dichloroethyl ether";"bis(2-chloroethyl) ether";"111-44-4";"C4H8Cl2O";"ethers";"";"100";"25 – 125";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Cast Iron, Gray/ Ductile";"dichloroethyl ether";"bis(2-chloroethyl) ether";"111-44-4";"C4H8Cl2O";"ethers";"";"100";"25 – 125";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Copper/ Bronze/ Low Brass";"dichloroethyl ether";"bis(2-chloroethyl) ether";"111-44-4";"C4H8Cl2O";"ethers";"";"100";"25 – 125";"<2";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Copper/ Bronze/ Low Brass";"dichloroethyl ether";"bis(2-chloroethyl) ether";"111-44-4";"C4H8Cl2O";"ethers";"";"100";"125 – 175";"<20";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Copper/ Bronze/ Low Brass";"dichloroethyl ether";"bis(2-chloroethyl) ether";"111-44-4";"C4H8Cl2O";"ethers";"";"100";"175 – 225";"20 – 50";"210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
