sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ferrous sulfate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Cast Iron, Gray/ Ductile";"ferrous sulfate";"iron sulfate";"7720-78-7";"FeO4S";"salts";"25";"25 – 75";">50";"50,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Copper/ Bronze/ Low Brass";"ferrous sulfate";"iron sulfate";"7720-78-7";"FeO4S";"salts";"5 – 15";"125 – 225";">50";"50,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Copper/ Bronze/ Low Brass";"ferrous sulfate";"iron sulfate";"7720-78-7";"FeO4S";"salts";"5 – 25";"25 – 125";"20 – 50";"50,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Cr Stainless Steel (12Cr)";"ferrous sulfate";"iron sulfate";"7720-78-7";"FeO4S";"salts";"5 – 15";"25 – 175";"<20";"50,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Cr Stainless Steel (12Cr)";"ferrous sulfate";"iron sulfate";"7720-78-7";"FeO4S";"salts";"5 – 15";"175 – 225";"20 – 50";"50,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Cr Stainless Steel (12Cr)";"ferrous sulfate";"iron sulfate";"7720-78-7";"FeO4S";"salts";"5 – 25";"25 – 75";"<20";"50,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Cr Stainless Steel (17Cr)";"ferrous sulfate";"iron sulfate";"7720-78-7";"FeO4S";"salts";"5 – 15";"25 – 175";"<20";"50,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Cr Stainless Steel (17Cr)";"ferrous sulfate";"iron sulfate";"7720-78-7";"FeO4S";"salts";"5 – 15";"175 – 225";"20 – 50";"50,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Cr Stainless Steel (17Cr)";"ferrous sulfate";"iron sulfate";"7720-78-7";"FeO4S";"salts";"5 – 25";"25 – 75";"<20";"50,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Duplex Stainless Steel (25-6-3)";"ferrous sulfate";"iron sulfate";"7720-78-7";"FeO4S";"salts";"10";"68";"<2";"50,181,215";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Gold/ Platinum";"ferrous sulfate";"iron sulfate";"7720-78-7";"FeO4S";"salts";"5 – 25";"25 – 225";"<2";"50,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Lead";"ferrous sulfate";"iron sulfate";"7720-78-7";"FeO4S";"salts";"5 – 15";"25 – 225";"<20";"50,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Lead";"ferrous sulfate";"iron sulfate";"7720-78-7";"FeO4S";"salts";"15 – 25";"325 – 375";">50";"50,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Lead";"ferrous sulfate";"iron sulfate";"7720-78-7";"FeO4S";"salts";"25";"375 – 425";">50";"50,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"ferrous sulfate";"iron sulfate";"7720-78-7";"FeO4S";"salts";"5 – 25";"25 – 225";"<20";"50,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"ferrous sulfate";"iron sulfate";"7720-78-7";"FeO4S";"salts";"5 – 25";"25 – 225";"<20";"50,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"ferrous sulfate";"iron sulfate";"7720-78-7";"FeO4S";"salts";"5 – 25";"25 – 225";"<20";"50,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"ferrous sulfate";"iron sulfate";"7720-78-7";"FeO4S";"salts";"5 – 25";"25 – 225";"<20";"50,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"ferrous sulfate";"iron sulfate";"7720-78-7";"FeO4S";"salts";"5 – 25";"25 – 225";"<20";"50,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Nickel (200)";"ferrous sulfate";"iron sulfate";"7720-78-7";"FeO4S";"salts";"5 – 15";"25 – 75";">50";"50,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Nickel (200)";"ferrous sulfate";"iron sulfate";"7720-78-7";"FeO4S";"salts";"100";"25 – 75";"<2";"50,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Nickel-Copper (400)";"ferrous sulfate";"iron sulfate";"7720-78-7";"FeO4S";"salts";"5 – 15";"75 – 225";"<20";"50,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Nickel-Copper (400)";"ferrous sulfate";"iron sulfate";"7720-78-7";"FeO4S";"salts";"15 – 25";"325 – 375";">50";"50,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Nickel-Copper (400)";"ferrous sulfate";"iron sulfate";"7720-78-7";"FeO4S";"salts";"100";"25 – 75";"<2";"50,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Ni-Cr-Fe Alloy (600/ 690)";"ferrous sulfate";"iron sulfate";"7720-78-7";"FeO4S";"salts";"5 – 25";"25 – 75";"<20";"50,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Ni-Cr-Fe Alloy (600/ 690)";"ferrous sulfate";"iron sulfate";"7720-78-7";"FeO4S";"salts";"15 – 25";"25 – 325";"<20";"50,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Ni-Cr-Fe Alloy (600/ 690)";"ferrous sulfate";"iron sulfate";"7720-78-7";"FeO4S";"salts";"15 – 25";"325 – 375";">50";"50,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
