sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Formaldehyde";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"formaldehyde";"methanal";"50-00-0";"CH2O";"aldehydes";"";">15";"25 – 225";"<2";"53,175,209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"formaldehyde";"methanal";"50-00-0";"CH2O";"aldehydes";"";"100";"0 – 212";"<2";"53,175,209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-25-6Mo (254SMO/ 6XN)";"formaldehyde";"methanal";"50-00-0";"CH2O";"aldehydes";"";"100";"0 – 212";"<2";"53,175,209";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"formaldehyde";"methanal";"50-00-0";"CH2O";"aldehydes";"";">5";"25 – 225";"<2";"53,175,209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"formaldehyde";"methanal";"50-00-0";"CH2O";"aldehydes";"";"100";"0 – 212";"<2";"53,175,209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 30-44-5-3W (G-30)";"formaldehyde";"methanal";"50-00-0";"CH2O";"aldehydes";"";">5";"25 – 225";"<2";"53,175,209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Alloy 30-44-5-3W (G-30)";"formaldehyde";"methanal";"50-00-0";"CH2O";"aldehydes";"";"100";"0 – 212";"<2";"53,175,209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Aluminum Alloy (3003/ 5154)";"formaldehyde";"methanal";"50-00-0";"CH2O";"aldehydes";"pitting";"5 – 45";"25 – 225";"<20";"53,209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Aluminum Alloy (3003/ 5154)";"formaldehyde";"methanal";"50-00-0";"CH2O";"aldehydes";"";"35 – 45";"25 – 425";"<20";"53,209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Aluminum Alloy (3003/ 5154)";"formaldehyde";"methanal";"50-00-0";"CH2O";"aldehydes";"";"65 – 75";"25 – 125";"<2";"53,209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Aluminum Alloy (3003/ 5154)";"formaldehyde";"methanal";"50-00-0";"CH2O";"aldehydes";"";"75 – 85";"125 – 175";"<20";"53,209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
