sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Phosphorous trichloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"phosphorous trichloride";"trichlorides";"2";"questionable";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acetal Resins (Polyoxymethylene)";"";"phosphorous trichloride";"oxychlorides";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"phosphorous trichloride";"";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Carbon-Graphite Composites";"";"phosphorous trichloride";"trichlorides";"1";"recommended";"10 – 90";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"phosphorous trichloride";"";"3";"not recommended";"100";"85";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"phosphorous trichloride";"";"3";"not recommended";"100";"135";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Chlorosulfonated Polyethylene";"";"phosphorous trichloride";"trichlorides";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Chlorosulfonated Polyethylene";"";"phosphorous trichloride";"oxychlorides";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"";"phosphorous trichloride";"trichlorides";"1";"recommended; steady state reached in one week exposure";"100";"32 – 212";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"phosphorous trichloride";"";"1";"recommended";"100";"60 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Fluororubber";"";"phosphorous trichloride";"";"3";"not recommended";"100";"60 – 70";"";"also trichlorides";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Furfuryl Alcohol Resin, Asbestos-Reinforced";"";"phosphorous trichloride";"trichlorides";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"phosphorous trichloride";"trichlorides";"1";"recommended";"100";"70 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Glass, Chemical";"";"phosphorous trichloride";"";"1";"recommended";"100";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Phenolic Resins, Asbestos-Reinforced";"";"phosphorous trichloride";"trichlorides";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Phenolic Resins, Asbestos-Reinforced";"";"phosphorous trichloride";"trichlorides; oxychlorides";"1";"recommended";"100";"70 – 300";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Polychloroprene";"";"phosphorous trichloride";"oxychlorides";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Polychloroprene";"";"phosphorous trichloride";"trichlorides";"2";"questionable";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Polyesters, Glass Fiber-Reinforced";"";"phosphorous trichloride";"";"3";"not recommended; recommended for vapors with HCl, chlorine + water";"100";"60 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Polyethylene (PE)";"";"phosphorous trichloride";"";"1";"recommended";"100";"70 – 125";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Polyethylene (PE)";"";"phosphorous trichloride";"";"2";"questionable";"100";"125 – 150";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Polypropylene (PP)";"";"phosphorous trichloride";"";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Polyvinyl Chloride (PVC)";"";"phosphorous trichloride";"";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Polyvinylidene Fluoride (PVDF)";"";"phosphorous trichloride";"";"1";"recommended";"100";"70 – 200";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Polyvinylidene Fluoride (PVDF)";"";"phosphorous trichloride";"";"2";"questionable";"100";"200 – 285";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Rubber, Butyl (BR)";"";"phosphorous trichloride";"";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Rubber, Natural (NR)";"";"phosphorous trichloride";"";"1";"recommended";"100";"60 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Wood";"";"phosphorous trichloride";"";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
