sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Hexamethylenetetramine";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"hexamethylenetetramine";"methenamine";"100-97-0";"C6H12N4";"amines";"";"5 – 50";"25 – 125";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"hexamethylenetetramine";"methenamine";"100-97-0";"C6H12N4";"amines";"";"5 – 50";"25 – 125";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"hexamethylenetetramine";"methenamine";"100-97-0";"C6H12N4";"amines";"";"5 – 50";"25 – 125";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Nickel (200)";"hexamethylenetetramine";"methenamine";"100-97-0";"C6H12N4";"amines";"severe corrosion with oxygen ingress";"5 – 50";"25 – 75";"20 – 50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Nickel (200)";"hexamethylenetetramine";"methenamine";"100-97-0";"C6H12N4";"amines";"severe corrosion with oxygen ingress";"100";"25 – 125";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Nickel Cast Iron (15-35Ni)";"hexamethylenetetramine";"methenamine";"100-97-0";"C6H12N4";"amines";"";"100";"25 – 75";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Nickel-Copper (400)";"hexamethylenetetramine";"methenamine";"100-97-0";"C6H12N4";"amines";"severe corrosion with oxygen ingress";"5 – 50";"25 – 75";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Nickel-Copper (400)";"hexamethylenetetramine";"methenamine";"100-97-0";"C6H12N4";"amines";"severe corrosion with oxygen ingress";"100";"25 – 125";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Ni-Cr-Fe Alloy (600/ 690)";"hexamethylenetetramine";"methenamine";"100-97-0";"C6H12N4";"amines";"";"5 – 50";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Ni-Cr-Fe Alloy (600/ 690)";"hexamethylenetetramine";"methenamine";"100-97-0";"C6H12N4";"amines";"";"100";"25 – 125";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Silicon Cast Iron (14Si)";"hexamethylenetetramine";"methenamine";"100-97-0";"C6H12N4";"amines";"";"100";"52 – 102";"<2";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Silver";"hexamethylenetetramine";"methenamine";"100-97-0";"C6H12N4";"amines";"";"5 – 50";"25 – 75";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Steels, Carbon/ Low Alloy";"hexamethylenetetramine";"methenamine";"100-97-0";"C6H12N4";"amines";"";"5 – 50";"25 – 75";"20 – 50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Steels, Carbon/ Low Alloy";"hexamethylenetetramine";"methenamine";"100-97-0";"C6H12N4";"amines";"";"5 – 50";"75 – 175";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Steels, Carbon/ Low Alloy";"hexamethylenetetramine";"methenamine";"100-97-0";"C6H12N4";"amines";"";"100";"25 – 75";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Tantalum";"hexamethylenetetramine";"methenamine";"100-97-0";"C6H12N4";"amines";"";"5 – 50";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Titanium, Unalloyed";"hexamethylenetetramine";"methenamine";"100-97-0";"C6H12N4";"amines";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Zirconium";"hexamethylenetetramine";"methenamine";"100-97-0";"C6H12N4";"amines";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
