sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Methyl isobutyl ketone";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Carbon-Graphite Composites";"";"methyl isobutyl ketone";"";"ketones";"1";"recommended";"100";"70 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Cellulose Acetate Butyrate";"";"methyl isobutyl ketone";"";"ketones";"3";"not recommended; disintegrated";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"methyl isobutyl ketone";"";"ketones";"1";"recommended";"100";"20 – 80";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Chlorinated Polyvinyl Chloride (CPVC)";"";"methyl isobutyl ketone";"";"ketones";"3";"not recommended";"100";"70 – 212";"";"";"1, 20";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Epoxy Resin, Glass Fiber- Reinforced";"";"methyl isobutyl ketone";"";"ketones";"1";"recommended";"100";"70 – 150";"";"";"1, 24";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Furan Laminates";"";"methyl isobutyl ketone";"";"ketones";"1";"recommended";"100";"175 – 200";"<12";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"methyl isobutyl ketone";"";"ketones";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Phenolic Resins, Asbestos-Reinforced";"";"methyl isobutyl ketone";"";"ketones";"3";"not recommended; Haveg 61 recommended at 50%, ";"50";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Phenolic Resins, Asbestos-Reinforced";"";"methyl isobutyl ketone";"";"ketones";"3";"not recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Phenolic Resins, Asbestos-Reinforced";"";"methyl isobutyl ketone";"";"ketones";"1";"recommended";"100";"175 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Polyesters, Glass Fiber-Reinforced";"";"methyl isobutyl ketone";"";"ketones";"1";"recommended";"80";"150 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Polyesters, Glass Fiber-Reinforced";"";"methyl isobutyl ketone";"with 15% hydrochloric acid";"ketones";"1";"recommended";"80";"175 – 200";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Polyesters, Glass Fiber-Reinforced";"";"methyl isobutyl ketone";"";"ketones";"1";"recommended";"100";"25 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Polyethylene (PE)";"";"methyl isobutyl ketone";"";"ketones";"2";"questionable";"100";"60 – 70";"";"low plasticizer";"1, 8";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Polyethylene (PE)";"";"methyl isobutyl ketone";"";"ketones";"3";"not recommended";"100";"70 – 150";"";"";"1, 8";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Polyphenylene Sulfide (40% Glass-Filled)";"Fortron PPS";"methyl isobutyl ketone";"";"ketones";"1";"recommended";"100";"0 – 70";"<1";"";"11";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Polypropylene (PP)";"";"methyl isobutyl ketone";"";"ketones";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Polypropylene (PP)";"";"methyl isobutyl ketone";"";"ketones";"3";"not recommended";"100";"80 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Polyvinyl Chloride (PVC)";"";"methyl isobutyl ketone";"";"ketones";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Polyvinylidene Chloride (PVDC)";"Saran brand resin";"methyl isobutyl ketone";"";"ketones";"1";"recommended";"100";"75";"";"";"6";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Polyvinylidene Fluoride (PVDF)";"Kynar";"methyl isobutyl ketone";"";"ketones";"1";"recommended";"100";"60 – 70";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";"";"";""
