sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Potassium carbonate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"potassium carbonate";"pearl ash";"584-08-7";"CK2O3";"salts";"<60";"230";"<2";"190,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"potassium carbonate";"pearl ash";"584-08-7";"CK2O3";"salts";"5 – 60";"25 – 225";"<2";"190,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-25-6Mo (254SMO/ 6XN)";"potassium carbonate";"pearl ash";"584-08-7";"CK2O3";"salts";"<60";"230";"<2";"190";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"potassium carbonate";"pearl ash";"584-08-7";"CK2O3";"salts";"<60";"230";"<2";"190,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"potassium carbonate";"pearl ash";"584-08-7";"CK2O3";"salts";"5 – 60";"25 – 225";"<2";"190,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 30-44-5-3W (G-30)";"potassium carbonate";"pearl ash";"584-08-7";"CK2O3";"salts";"<60";"230";"<2";"190,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Alloy 30-44-5-3W (G-30)";"potassium carbonate";"pearl ash";"584-08-7";"CK2O3";"salts";"5 – 60";"25 – 225";"<2";"190,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Aluminum Alloy (3003/ 5154)";"potassium carbonate";"pearl ash";"584-08-7";"CK2O3";"salts";"5 – 60";"25 – 225";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"potassium carbonate";"pearl ash";"584-08-7";"CK2O3";"salts";"1 – 60";"25 – 230";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"potassium carbonate";"pearl ash";"584-08-7";"CK2O3";"salts";"1 – 60";"25 – 230";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Brass (>15Zn)";"potassium carbonate";"pearl ash";"584-08-7";"CK2O3";"salts";"5 – 60";"25 – 225";"20 – 50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
