sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Sodium carbonate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"sodium carbonate";"soda ash";"";"497-19-8";"CNa2O3";"salts";"1";"recommended";"10 – 40";"70 – 150";"<6";"";"1";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"sodium carbonate";"soda ash";"";"497-19-8";"CNa2O3";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"3";"Cellulose Acetate";"";"sodium carbonate";"soda ash";"";"497-19-8";"CNa2O3";"salts";"3";"not recommended; >12 months, weight loss";"2.5";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"4";"Cellulose Acetate";"";"sodium carbonate";"soda ash";"";"497-19-8";"CNa2O3";"salts";"1";"recommended";"100";"60 – 70";"[";"";"1";"";"";"";"";"";"";"";"";"";""
"5";"Cellulose Acetate Butyrate";"";"sodium carbonate";"soda ash";"";"497-19-8";"CNa2O3";"salts";"2";"questionable; ";"<6";"90 – 100";"";"";"1";"";"";"";"";"";"";"";"";"";""
"6";"Cellulose Acetate Butyrate";"";"sodium carbonate";"soda ash";"";"497-19-8";"CNa2O3";"salts";"1";"recommended; >12 months";"2.5";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"7";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"sodium carbonate";"soda ash";"";"497-19-8";"CNa2O3";"salts";"1";"recommended";"<25";"75";"<6";"";"16";"";"";"";"";"";"";"";"";"";""
"8";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"";"sodium carbonate";"soda ash";"";"497-19-8";"CNa2O3";"salts";"2";"questionable";"5";"200";"";"";"16";"";"";"";"";"";"";"";"";"";""
"9";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"";"sodium carbonate";"soda ash";"";"497-19-8";"CNa2O3";"salts";"1";"recommended";"10";"110";"";"";"16";"";"";"";"";"";"";"";"";"";""
"10";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"sodium carbonate";"soda ash";"vapor & condensate";"497-19-8";"CNa2O3";"salts";"1";"recommended";"10";"190";"";"";"16";"";"";"";"";"";"";"";"";"";""
"11";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"sodium carbonate";"soda ash";"";"497-19-8";"CNa2O3";"salts";"1";"recommended";"<25";"75";"<6";"";"16";"";"";"";"";"";"";"";"";"";""
"12";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"";"sodium carbonate";"soda ash";"";"497-19-8";"CNa2O3";"salts";"1";"recommended";"10";"125";"";"";"16";"";"";"";"";"";"";"";"";"";""
"13";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"sodium carbonate";"soda ash";"vapor & condensate";"497-19-8";"CNa2O3";"salts";"1";"recommended";"10";"135";"";"";"16";"";"";"";"";"";"";"";"";"";""
"14";"Chlorinated Polyvinyl Chloride (CPVC)";"";"sodium carbonate";"soda ash";"";"497-19-8";"CNa2O3";"salts";"1";"recommended";"100";"70 – 212";"";"";"1, 20";"";"";"";"";"";"";"";"";"";""
"15";"Chlorosulfonated Polyethylene";"";"sodium carbonate";"soda ash";"saturated";"497-19-8";"CNa2O3";"salts";"1";"recommended";"10 – 40";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"16";"Concrete";"";"sodium carbonate";"soda ash";"";"497-19-8";"CNa2O3";"salts";"1";"recommended";"10 – 90";"60 – 70";"";"no sulfates";"1";"";"";"";"";"";"";"";"";"";""
"17";"Epoxy Cements";"";"sodium carbonate";"soda ash";"";"497-19-8";"CNa2O3";"salts";"1";"recommended";"18";"68";"<6";"";"5";"";"";"";"";"";"";"";"";"";""
"18";"Epoxy Cements";"";"sodium carbonate";"soda ash";"";"497-19-8";"CNa2O3";"salts";"1";"recommended";"18";"140";"";"";"5";"";"";"";"";"";"";"";"";"";""
