sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Hydrogen sulfide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Lead";"hydrogen sulfide";"";"7783-06-04";"H2S";"gases";"";"100";"25 – 500";"<20";"";"64,150,219,223";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"hydrogen sulfide";"";"7783-06-04";"H2S";"gases";"";"100";"25 – 325";"<20";"";"64,150,219,223";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"hydrogen sulfide";"";"7783-06-04";"H2S";"gases";"";"100";"25 – 325";"<20";"";"64,150,219,223";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"hydrogen sulfide";"";"7783-06-04";"H2S";"gases";"";"100";"25 – 325";"<20";"";"64,150,219,223";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"hydrogen sulfide";"";"7783-06-04";"H2S";"gases";"";"100";"25 – 325";"<20";"";"64,150,219,223";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"hydrogen sulfide";"";"7783-06-04";"H2S";"gases";"";"100";"25 – 325";"<20";"";"64,150,219,223";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Nickel (200)";"hydrogen sulfide";"";"7783-06-04";"H2S";"gases";"";"100";"25 – 475";"<20";"";"64,150,219,223";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Nickel Cast Iron (15-35Ni)";"hydrogen sulfide";"";"7783-06-04";"H2S";"gases";"";"100";"25 – 225";"<20";"";"64,150,219,223";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Nickel-Copper (400)";"hydrogen sulfide";"";"7783-06-04";"H2S";"gases";"";"100";"25 – 475";"<20";"";"64,150,219,223";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Ni-Cr-Fe Alloy (600/ 690)";"hydrogen sulfide";"";"7783-06-04";"H2S";"gases";"";"100";"25 – 475";"<20";"";"64,150,219,223";"";"";"";"";"";"";"";"";"";"";"";"";""
