sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Diacetone alcohol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Cellulose Acetate";"diacetone alcohol";"4-hydroxy-4-methyl-2-pentanone";"123-42-2";"C6H12O2";"alcohols";"3";"not recommended";"100";"60 – 70";"<1";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Cellulose Acetate Butyrate";"diacetone alcohol";"4-hydroxy-4-methyl-2-pentanone";"123-42-2";"C6H12O2";"alcohols";"3";"not recommended; disintegrated";"100";"60 – 70";"<1";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Epoxy Resin, Glass Fiber- Reinforced";"diacetone alcohol";"4-hydroxy-4-methyl-2-pentanone";"123-42-2";"C6H12O2";"alcohols";"1";"recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Polypropylene (PP)";"diacetone alcohol";"4-hydroxy-4-methyl-2-pentanone";"123-42-2";"C6H12O2";"alcohols";"1";"recommended";"100";"70 – 125";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Polyvinylidene Fluoride (PVDF)";"diacetone alcohol";"4-hydroxy-4-methyl-2-pentanone";"123-42-2";"C6H12O2";"alcohols";"1";"recommended";"100";"60 – 70";"";"1, 23";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Polyvinylidene Fluoride (PVDF)";"diacetone alcohol";"4-hydroxy-4-methyl-2-pentanone";"123-42-2";"C6H12O2";"alcohols";"2";"questionable";"100";"70 – 150";"";"1, 23";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Polyvinylidene Fluoride (PVDF)";"diacetone alcohol";"4-hydroxy-4-methyl-2-pentanone";"123-42-2";"C6H12O2";"alcohols";"3";"not recommended";"100";"150 – 212";"";"1, 23";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Styrene Acrylonitrile Copolymer (SAN)";"diacetone alcohol";"4-hydroxy-4-methyl-2-pentanone";"123-42-2";"C6H12O2";"alcohols";"3";"not recommended";"100";"70 – 125";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
